trial;pic;iti
1;23B;12209
2;15C;13993,6
3;22A;12992,9
4;8A;12626
5;25A;13276,4
6;13B;12642,7
7;17B;14060,3
8;19D;13626,7
9;9C;14077
10;21D;12809,5
11;4C;13526,6
12;1B;13143
13;20C;12375,8
14;5B;12609,2
15;14A;13376,6
16;3C;13976,9
17;6A;12342,4
18;2A;13009,6
19;24C;14010,3
20;26D;13543,3
21;12B;12676
22;11C;13293,1
23;10C;12826,1
24;7A;12942,9
25;18A;13193
26;16A;0
