trial;pic;iti
1;23C;13283,3
2;16A;13209,8
3;9C;13143,1
4;15C;13193,1
5;1C;14093,8
6;4B;12359,1
7;17C;13560,1
8;24A;12909,6
9;10A;12976,3
10;8B;13710,2
11;12D;13893,6
12;25B;12842,9
13;19A;13610,1
14;13C;12659,4
15;11C;13076,4
16;14C;13626,8
17;22C;13760,2
18;5B;12592,7
19;26B;14027,1
20;20D;12459,3
21;2A;13293,2
22;18C;12526
23;6D;12325,8
24;21B;12309,2
25;7B;14110,5
26;3B;0
