trial;pic;iti
1;11C;12209,1
2;13C;13460
3;21B;13076,3
4;12A;14060,4
5;6C;12359,2
6;1B;13176,4
7;15C;12859,6
8;17C;14010,4
9;25B;13810,2
10;14B;12475,9
11;18B;14127,1
12;3B;13910,4
13;4A;13560
14;9D;12375,9
15;20B;12692,7
16;19A;13109,7
17;8C;13893,7
18;2A;13576,7
19;10B;13059,7
20;26C;12626
21;7D;12592,7
22;22A;12776,1
23;16D;12826,2
24;23B;12526
25;5C;13843,6
26;24D;0
