trial;pic;iti
1;16A;12892,9
2;14C;12976,3
3;5A;13910,3
4;13C;13360
5;9A;13626,7
6;25A;12459,3
7;6D;12909,6
8;3A;13393,2
9;24C;12626,1
10;26C;12475,9
11;21B;12392,5
12;8A;14093,8
13;19D;14060,4
14;12B;13393,3
15;22B;12442,6
16;17C;13176,4
17;7D;13710,2
18;20B;13076,3
19;23A;13176,5
20;11A;13893,6
21;10A;13743,6
22;18C;14010,3
23;15A;13376,6
24;2D;12642,7
25;1D;12392,6
26;4A;0
