trial;pic;iti
1;23A;12192,5
2;5C;13293,4
3;12B;13593,6
4;16B;13676,9
5;18D;12209,2
6;17A;12859,7
7;19D;13843,8
8;11D;13493,5
9;1A;12526,1
10;6C;12859,7
11;26A;13360,1
12;7D;13510,1
13;3A;12342,7
14;14A;13560,2
15;22A;12325,9
16;2D;12175,9
17;4D;12592,8
18;13C;12326
19;25D;13360
20;9A;13727
21;10D;13109,9
22;24B;13977,2
23;21A;12976,5
24;8A;12859,7
25;20B;12142,4
26;15A;0
