trial;pic;iti
1;11A;12592,6
2;5B;12592,7
3;7B;12592,7
4;15D;13977
5;3B;12692,8
6;17C;12442,5
7;13D;13993,8
8;21A;12575,9
9;25C;13810,3
10;19C;13543,4
11;1B;13843,6
12;2B;13176,4
13;14B;13443,3
14;10C;13760,2
15;23C;12242,4
16;12D;12943
17;18B;13643,4
18;9D;13343,3
19;8D;12125,6
20;6D;12275,8
21;20B;12859,6
22;22D;14077,1
23;16C;13493,3
24;24A;12209,1
25;4D;12826,2
26;26D;0
