trial;pic;iti
1;6A;13827,4
2;7B;13110,2
3;15D;12476,3
4;4A;13927,5
5;26D;12926,8
6;12C;12709,8
7;2A;12142,8
8;21C;12426,3
9;16B;13644
10;11C;14077,6
11;22C;13744
12;18D;14094,3
13;1B;13393,8
14;3B;13860,7
15;13D;13176,9
16;24C;13477,2
17;20D;12242,8
18;8B;12593,2
19;25C;12192,8
20;5D;12826,6
21;10C;12443,1
22;17B;12426,3
23;9B;13110,2
24;23B;13844,1
25;19A;12876,7
26;14B;0
