trial;pic;iti
1;17C;13159,7
2;14A;13910,4
3;19D;12642,7
4;7D;12559,3
5;16B;12342,5
6;2B;13426,6
7;24D;13626,8
8;22C;13043
9;15C;13776,9
10;20C;13059,7
11;4C;12159
12;1C;12976,3
13;8D;13760,2
14;21D;13710,2
15;12B;14110,5
16;9A;13393,2
17;5D;12592,7
18;10A;14043,8
19;6C;13593,4
20;26C;13143,1
21;18B;13059,7
22;23B;14060,4
23;13A;12742,8
24;25A;12492,6
25;11D;13610,1
26;3A;0
