trial;pic;iti
1;15A;13977,5
2;11C;12209,4
3;24A;13527,1
4;20C;13393,7
5;3C;13427
6;7D;12459,6
7;1C;14077,6
8;19A;13693,9
9;21D;12943,3
10;22C;14294,4
11;23B;13460,4
12;17C;12960
13;25B;12543,1
14;2B;12309,5
15;12B;13110,1
16;13C;13193,6
17;16C;13076,7
18;10A;12643,1
19;5B;12342,9
20;18C;12893,3
21;4A;12509,7
22;9B;12726,5
23;8C;12759,9
24;6B;13126,8
25;14A;12809,9
26;26A;0
