vp;trial;timest;timeend;x;y;duration;roi
vpja70;1;290;490;-103,7;-150,5;200;255000
vpja70;1;502;1064;-122,1;-167,7;562;255000
vpja70;1;1103;1235;-73,3000000000001;-70,0999999999999;132;2,55e+08
vpja70;1;1278;1407;16,3;120,7;129;255255000
vpja70;1;1466;1654;-316,1;169,8;188;255
vpja70;1;1676;1875;-278,2;182;199;255
vpja70;1;1894;2012;-314,9;200,5;118;0
vpja70;1;2053;2245;-473,7;261,2;192;0
vpja70;1;2291;2442;-168,1;370,2;151;0
vpja70;1;2487;2671;-13,5;169,6;184;255255000
vpja70;1;2694;2812;-4,90000000000009;140,1;118;255255000
vpja70;1;2985;3073;-48;108,3;88;2,55e+08
vpja70;1;3117;3269;-307,9;175;152;0
vpja70;1;3312;3558;-441,2;17,6;246;0
vpja70;1;3591;3854;-430,2;-77,5999999999999;263;0
vpja70;1;3875;4163;-458,6;-90,8;288;0
vpja70;1;4193;4342;-381,6;-15,5999999999999;149;0
vpja70;1;4389;4499;-467,7;236;110;0
vpja70;1;4538;4686;-303,3;199,2;148;0
vpja70;1;4732;4938;-172,8;362,8;206;0
vpja70;1;4961;5304;-241;378,7;343;0
vpja70;1;5345;5497;-314,9;169,4;152;255
vpja70;1;5518;5721;-265,8;169,6;203;0
vpja70;1;5764;5884;-102,4;66,2;120;2,55e+08
vpja70;1;5929;6135;-110,8;-154;206;255000
vpja70;1;6146;6511;-130,2;-146,8;365;255000
vpja70;1;6558;6700;82,5999999999999;-215,4;142;0
vpja70;1;6726;6918;108,8;-302,5;192;0
vpja70;1;6952;7058;189,7;-366,4;106;0
vpja70;1;7115;7389;426,5;-16,9;274;0
vpja70;1;7434;7724;618;62,9000000000001;290;0
vpja70;1;7738;8040;627;99;302;0
vpja70;1;8110;8297;-31;168,8;187;255255000
vpja70;1;8344;8574;-199,8;355,2;230;0
vpja70;1;8599;8864;-251,7;397,8;265;0
vpja70;1;8902;9137;-118,4;341,5;235;0
vpja70;1;9157;9360;-162,8;342,9;203;0
vpja70;1;9377;9746;-150,1;315,8;369;0
vpja70;1;9773;10000;-67,6;323,6;227;0
vpja70;2;294;393;-265,8;109,8;99;255255000
vpja70;2;490;723;-457,7;-150,4;233;255000
vpja70;2;738;1005;-443,4;-136,6;267;255000
vpja70;2;1042;1203;-241,4;-74,3;161;0
vpja70;2;1245;1445;-74,4;-236,8;200;0
vpja70;2;1471;1660;-145;-272,9;189;0
vpja70;2;1704;1904;59,4000000000001;-386,7;200;0
vpja70;2;1925;2134;67,7;-424,7;209;0
vpja70;2;2156;2234;33,9000000000001;-389,6;78;0
vpja70;2;2294;2487;499,7;-255,9;193;0
vpja70;2;2515;2722;566,1;-136,2;207;0
vpja70;2;2792;3078;4;-2;286;255
vpja70;2;3106;3269;21;71,8000000000001;163;255
vpja70;2;3313;3668;-249;104,3;355;255255000
vpja70;2;3705;3890;-260,1;-29,5;185;0
vpja70;2;3934;4201;-460,4;-161,1;267;255000
vpja70;2;4413;4666;-0,0999999999999091;-2,89999999999998;253;255
vpja70;2;4714;5045;-263,6;111,8;331;255255000
vpja70;2;5072;5494;-182,1;142,9;422;255255000
vpja70;2;5539;5626;-396,7;130,5;87;255255000
vpja70;2;5671;5818;-467,3;-108,4;147;255000
vpja70;2;5841;6169;-443,7;-151,6;328;255000
vpja70;2;6227;6545;15,3000000000001;14,5;318;255
vpja70;2;6566;6966;27,8000000000001;-29,5;400;255
vpja70;2;6979;7536;42,2;-10,8;557;255
vpja70;2;7555;7693;4,30000000000007;3,5;138;255
vpja70;2;7741;7968;-260,1;106,1;227;255255000
vpja70;2;7997;8301;-178,9;119,2;304;255255000
vpja70;2;8931;9089;-467,1;-128,9;158;255000
vpja70;2;9109;9266;-440,4;-129,3;157;255000
vpja70;2;9315;9478;-118,3;-191,2;163;0
vpja70;2;9505;9709;-178,7;-263,7;204;0
vpja70;2;9748;9942;-12,5999999999999;-255,2;194;0
vpja70;3;244;407;-93,4;-161,7;163;255000
vpja70;3;455;646;111,1;51,3;191;0
vpja70;3;1245;1432;102,3;80,8;187;255
vpja70;3;1451;1607;63,5;83,1;156;0
vpja70;3;1659;1844;-89,1999999999999;-174,3;185;255000
vpja70;3;1863;2138;-98,6999999999999;-213,7;275;255000
vpja70;3;2189;2479;107;61,4;290;255
vpja70;3;2526;2677;-79,1999999999999;-162,7;151;255000
vpja70;3;2699;3118;-89,4;-206,2;419;255000
vpja70;3;3131;3411;-96,8;-185,3;280;255000
vpja70;3;3442;3613;-179,7;-55,8000000000001;171;2,55e+08
vpja70;3;3648;3837;-317,7;101,7;189;255255000
vpja70;3;3859;4033;-372,3;115,3;174;0
vpja70;3;6190;6273;-300,3;122,5;83;0
vpja70;3;6351;6420;-301,4;123,3;69;0
vpja70;3;6475;6669;64,3000000000001;103,3;194;255
vpja70;3;6691;6888;92,6;81,4;197;255
vpja70;3;7163;7290;371,3;-45,6;127;0
vpja70;3;7311;7535;339,5;-72,5;224;0
vpja70;3;7552;7676;352,1;-88,8000000000001;124;0
vpja70;3;7738;8009;-97,9;-187,7;271;255000
vpja70;3;8060;8264;104;46,5;204;0
vpja70;3;8281;8647;89,1;75,3;366;255
vpja70;3;8657;8916;102,8;86,3;259;255
vpja70;3;9802;9924;593,2;-81,6;122;0
vpja70;3;9959;10000;626,4;-224,6;41;0
vpja70;4;334;362;-353,2;144,1;28;255
vpja70;4;860;1097;273,7;128,3;237;255255000
vpja70;4;1116;1279;309;136,1;163;255255000
vpja70;4;1339;1562;28,8;-284,9;223;255000
vpja70;4;1579;1843;1,89999999999998;-289,2;264;255000
vpja70;4;1862;2127;20,7;-308;265;255000
vpja70;4;2149;2453;11,8;-263,9;304;255000
vpja70;4;2486;2651;1,39999999999998;-114,7;165;2,55e+08
vpja70;4;2703;2928;168,6;-371,3;225;0
vpja70;4;2947;3096;197,1;-371;149;0
vpja70;4;3142;3399;-59,5;-397,3;257;0
vpja70;4;3453;3737;-303,9;-151,3;284;0
vpja70;4;3783;4103;-470,9;-58;320;0
vpja70;4;4148;4350;-357,5;118;202;0
vpja70;4;4395;4584;-516,8;224,9;189;0
vpja70;4;4638;4851;-112,7;293,9;213;0
vpja70;4;4904;5023;198,9;233,1;119;0
vpja70;4;5088;5319;289;-132,8;231;0
vpja70;4;5371;5607;544,2;11,1;236;0
vpja70;4;5645;5819;542,4;203,8;174;0
vpja70;4;5849;5957;524,1;317,4;108;0
vpja70;4;6007;6194;305,1;155,3;187;255255000
vpja70;4;6214;6329;264,1;138;115;255255000
vpja70;4;6386;6563;26,2;-257,4;177;255000
vpja70;4;6584;6847;0,399999999999977;-289,8;263;255000
vpja70;4;6860;7121;5,70000000000005;-311;261;255000
vpja70;4;7301;7467;21,7;-317,8;166;255000
vpja70;4;7508;7756;1,5;-107,3;248;2,55e+08
vpja70;4;7811;7995;-381,7;102,8;184;0
vpja70;4;8016;8367;-357;120,6;351;0
vpja70;4;8482;8560;-359,5;120,2;78;0
vpja70;4;8581;9157;-358,2;122,5;576;0
vpja70;4;9165;9472;-365,2;136,2;307;0
vpja70;4;9486;9837;-347,3;136,3;351;255
vpja70;4;9848;10000;-365,7;137,4;152;0
vpja70;5;191;401;-118,1;-90;210;255000
vpja70;5;448;587;143,7;57,4;139;255
vpja70;5;659;1004;-497,9;163,5;345;0
vpja70;5;1016;1222;-491,4;141,4;206;255255000
vpja70;5;1283;1517;174,6;81,9;234;255
vpja70;5;1543;1781;241,6;90,4;238;0
vpja70;5;1809;1984;129,6;114;175;255
vpja70;5;2035;2203;-104,3;-149,1;168;255000
vpja70;5;2220;2640;-124,7;-131,3;420;255000
vpja70;5;2651;3012;-118,2;-133,4;361;255000
vpja70;5;3019;3265;-131,6;-127,8;246;255000
vpja70;5;3282;3555;-124,2;-119,4;273;255000
vpja70;5;3570;4056;-129,4;-134;486;255000
vpja70;5;4063;4216;-122,5;-121,4;153;255000
vpja70;5;4277;4571;-461,8;145,4;294;255255000
vpja70;5;4623;4824;-139,7;278,5;201;2,55e+08
vpja70;5;5010;5332;-97,9;92,3;322;2,55e+08
vpja70;5;5393;5658;-482,2;153,2;265;255255000
vpja70;5;5711;5925;-480,6;-182,4;214;0
vpja70;5;5974;6098;-437,4;-426,3;124;0
vpja70;5;6148;6317;-55,5;-398,8;169;0
vpja70;5;6384;6519;391,3;8,59999999999991;135;0
vpja70;5;6542;6803;321,7;-7,10000000000002;261;0
vpja70;5;6836;7030;355,1;118,2;194;0
vpja70;5;7075;7308;554,2;148;233;0
vpja70;5;7374;7585;-45,8;79,5999999999999;211;2,55e+08
vpja70;5;7805;8146;-488,1;155,3;341;255255000
vpja70;5;8170;8525;-452,7;153,5;355;255255000
vpja70;5;8897;9178;118;117,3;281;255
vpja70;5;9204;9452;225,7;98,1999999999999;248;255
vpja70;5;9501;9775;-39,5;207,1;274;0
vpja70;6;216;326;24,9;-213,1;110;2,55e+08
vpja70;6;348;553;16,8;-265,6;205;255000
vpja70;6;566;878;20,1999999999999;-287,7;312;255000
vpja70;6;891;1147;27,1999999999999;-265,5;256;255000
vpja70;6;1204;1339;-309,1;35,4;135;0
vpja70;6;1367;1516;-337,2;95,0999999999999;149;255255000
vpja70;6;1586;1748;288;121;162;255
vpja70;6;1836;2035;-593,7;51,5;199;0
vpja70;6;2057;2352;-635;68;295;0
vpja70;6;2395;2610;-371,6;99,8;215;255255000
vpja70;6;2632;2804;-332,8;115,4;172;255255000
vpja70;6;3923;3963;502,1;-33,5;40;0
vpja70;6;3974;4023;494,7;-13,4000000000001;49;0
vpja70;6;4060;4354;311;105,5;294;0
vpja70;6;4368;4705;280,6;122,5;337;255
vpja70;6;4718;5211;294,1;129,9;493;255
vpja70;6;5254;5481;488,1;185,6;227;0
vpja70;6;5518;5690;320,2;136,3;172;0
vpja70;6;5753;5935;19,0999999999999;-246,6;182;255000
vpja70;6;5959;6370;23,4;-289,3;411;255000
vpja70;6;6385;6773;31,1999999999999;-259,8;388;255000
vpja70;6;6786;7040;26,9;-286,3;254;255000
vpja70;6;7054;7396;43,1999999999999;-283,7;342;255000
vpja70;6;7408;7679;25,9;-279,7;271;255000
vpja70;6;7694;7814;45,1999999999999;-277,2;120;255000
vpja70;6;7869;8050;-282,6;56,6999999999999;181;255255000
vpja70;6;8075;8297;-342,2;79,5;222;255255000
vpja70;6;8998;9026;-317,9;89;28;255255000
vpja70;6;9039;9330;-344,6;79,9;291;255255000
vpja70;6;9340;9456;-348;64,5;116;255255000
vpja70;6;9518;9786;42,1999999999999;-278,8;268;255000
vpja70;6;9799;9999;20,9;-278,8;200;255000
vpja70;7;199;327;-293,705882352941;-156,820069204152;128;255000
vpja70;7;387;579;184,994117647059;254,379930795848;192;0
vpja70;7;606;737;144,394117647059;303,379930795848;131;255
vpja70;7;809;1283;-533,105882352941;374,279930795848;474;255255000
vpja70;7;1304;1512;-494,805882352941;365,479930795848;208;255255000
vpja70;7;1529;1817;-523,505882352941;374,879930795848;288;255255000
vpja70;7;1837;1921;-496,005882352941;392,379930795848;84;255255000
vpja70;7;1995;2234;-581,205882352941;-168,820069204152;239;0
vpja70;7;2259;2437;-553,205882352941;-228,720069204152;178;0
vpja70;7;2477;2655;-346,605882352941;-225,920069204152;178;255000
vpja70;7;2680;3141;-294,605882352941;-183,120069204152;461;255000
