vp;trial;timest;timeend;x;y;duration;roi
vpja83;1;637;895;-131,1;342,4;258;255255000
vpja83;1;910;1111;-115,7;364,2;201;255255000
vpja83;1;1165;1314;-467;338,4;149;0
vpja83;1;1384;1605;-181,4;-223,2;221;255000
vpja83;1;1626;1893;-224,5;-213,3;267;0
vpja83;1;2430;2611;-192,9;-226,7;181;255000
vpja83;1;2671;3112;230,2;-259;441;0
vpja83;1;3158;3326;282,9;4,60000000000002;168;0
vpja83;1;3357;3494;330,5;100,6;137;0
vpja83;1;3579;3805;-411;354;226;0
vpja83;1;3834;4009;-481,9;327,1;175;0
vpja83;1;4046;4184;-613,8;294,6;138;0
vpja83;1;4266;4579;-509,6;-220,8;313;0
vpja83;1;4598;4725;-514,1;-261,3;127;0
vpja83;1;4978;5108;-213,4;-286,5;130;255000
vpja83;1;5218;5337;408,8;177,4;119;0
vpja83;1;5390;5610;573,5;408,9;220;0
vpja83;1;5630;6017;575,8;451,2;387;0
vpja83;1;6027;6228;584,6;458,9;201;0
vpja83;1;6282;6477;386,1;109,8;195;0
vpja83;1;6503;6673;312,3;40,1;170;0
vpja83;1;6726;6944;170,5;-249,6;218;0
vpja83;1;6996;7131;-147,2;-250,2;135;255000
vpja83;1;7158;7631;-208,5;-212,6;473;255000
vpja83;1;7660;7860;-190,1;-124,1;200;2,55e+08
vpja83;1;7894;8071;-204,5;-224,2;177;255000
vpja83;1;8279;8430;-192,9;199,7;151;2,55e+08
vpja83;1;8446;8735;-183,1;232,5;289;0
vpja83;1;8777;9070;-134,7;355,1;293;255255000
vpja83;1;9086;9448;-109;364,6;362;255255000
vpja83;1;9503;9841;-468,2;325;338;0
vpja83;1;9875;10000;-563,6;330,3;125;0
vpja83;2;415;522;-54,3;87,6999999999999;107;0
vpja83;2;582;627;-57,8;92;45;0
vpja83;2;865;1033;267,5;221,5;168;255
vpja83;2;1065;1279;362,5;252,1;214;0
vpja83;2;1368;1607;-443,2;298,3;239;255255000
vpja83;2;1685;1834;-107;-316,2;149;2,55e+08
vpja83;2;1855;2598;-74,5;-348;743;255000
vpja83;2;2655;2910;-424;-305,3;255;0
vpja83;2;2933;3143;-489;-305,4;210;0
vpja83;2;3169;3526;-569,6;-344,5;357;0
vpja83;2;3551;3974;-505,8;-418,2;423;0
vpja83;2;3991;4088;-526,5;-441,4;97;0
vpja83;2;4172;4462;142,9;-378,5;290;0
vpja83;2;4492;4642;185;-306,7;150;0
vpja83;2;4698;5118;518,9;-176,8;420;0
vpja83;2;5222;5584;296,5;338,4;362;0
vpja83;2;5663;6005;-479,6;308,5;342;255255000
vpja83;2;6020;6538;-492,5;289,5;518;0
vpja83;2;6591;6766;-111,3;165,6;175;2,55e+08
vpja83;2;6882;7041;-52,5999999999999;-325,7;159;255000
vpja83;2;7062;7333;-68,4;-369,7;271;255000
vpja83;2;7404;7691;-106,8;150,6;287;2,55e+08
vpja83;2;7720;7895;-130,9;92,5;175;2,55e+08
vpja83;2;7927;8166;-106;-6,90000000000009;239;2,55e+08
vpja83;2;8409;8546;2,5;-399,9;137;0
vpja83;2;8574;8820;-58,5999999999999;-368,5;246;255000
vpja83;2;8831;9036;-69,9;-376,6;205;255000
vpja83;2;9046;9196;-58,1999999999999;-377,4;150;255000
vpja83;2;9294;9521;349,4;180,9;227;255
vpja83;2;9557;10000;275,5;312,6;443;255
vpja83;3;603;883;-1,70000000000005;123,6;280;2,55e+08
vpja83;3;1043;1213;-216,9;161,9;170;0
vpja83;3;1252;1544;-276,2;314,6;292;0
vpja83;3;1570;1880;-245,5;267,7;310;0
vpja83;3;1968;2130;417,3;227,1;162;0
vpja83;3;2174;2369;500,9;72;195;0
vpja83;3;2441;2581;164;-252,7;140;0
vpja83;3;2624;3207;-7,80000000000007;-286,7;583;255000
vpja83;3;3240;3576;5,19999999999993;-153,7;336;2,55e+08
vpja83;3;3588;3733;16,6999999999999;-149,2;145;2,55e+08
vpja83;3;3769;4006;-6,20000000000005;-287,7;237;255000
vpja83;3;4022;4236;1,60000000000002;-314,3;214;255000
vpja83;3;4464;4538;-231,3;-208,1;74;0
vpja83;3;4754;4886;-551,9;52,6;132;0
vpja83;3;4923;5135;-594,4;177,1;212;0
vpja83;3;5182;5475;-571;-48,9;293;0
vpja83;3;5527;5737;-581,2;232,2;210;0
vpja83;3;5780;5994;-524,8;340,7;214;0
vpja83;3;6042;6204;-584,5;60,3000000000001;162;0
vpja83;3;6254;6506;-572,5;-285,1;252;0
vpja83;3;6577;6810;-87,4;-306,7;233;0
vpja83;3;6869;7077;349,5;-374;208;0
vpja83;3;7137;7317;31,5;-250,4;180;2,55e+08
vpja83;3;7343;7505;0,699999999999932;-293,5;162;255000
vpja83;3;7579;7768;79,8000000000001;335,3;189;2,55e+08
vpja83;3;7808;7988;67;444,3;180;2,55e+08
vpja83;3;8006;8261;36,3;464,4;255;2,55e+08
vpja83;3;8268;8747;19,8;459,3;479;2,55e+08
