vp;trial;timest;timeend;x;y;duration;roi
vpja81;1;358;830;-383,5;-73,1;472;255000
vpja81;1;844;975;-381,9;-56,6;131;255000
vpja81;1;1121;1276;-396,1;-49,4;155;255000
vpja81;1;1309;1599;-515,2;-155,1;290;0
vpja81;1;1624;1780;-568,1;-199,7;156;0
vpja81;1;2080;2380;-316,4;289,8;300;255
vpja81;1;2436;2614;-354,4;-44,6;178;255000
vpja81;1;2643;3015;-396,2;-57,9;372;255000
vpja81;1;3047;3194;-367,4;-5,29999999999995;147;255000
vpja81;1;3264;3423;206,8;153,8;159;255255000
vpja81;1;3462;3614;287,2;-5,5;152;0
vpja81;1;3661;3943;513,7;-86,3;282;0
vpja81;1;3971;4193;459;0;222;0
vpja81;1;4354;4529;259,6;14;175;0
vpja81;1;4581;4731;208,7;-260,8;150;0
vpja81;1;4770;4885;353,4;-298,9;115;0
vpja81;1;4944;5056;-57,1;-335,7;112;0
vpja81;1;5102;5294;-318,7;-398,3;192;0
vpja81;1;5322;5589;-406,9;-394,4;267;0
vpja81;1;5635;5807;-585,2;-322,6;172;0
vpja81;1;5834;6011;-589,8;-235,8;177;0
vpja81;1;6053;6310;-625,8;-146,5;257;0
vpja81;1;6345;6503;-360,7;-73,3;158;255000
vpja81;1;6524;7030;-383,6;-52,9;506;255000
vpja81;1;7084;7537;-380,5;138,2;453;2,55e+08
vpja81;1;7581;7868;-306,4;261,9;287;255
vpja81;1;7895;8203;-315,3;349,7;308;255
vpja81;1;8226;8320;-321,5;410;94;255
vpja81;1;8393;8634;150;199,5;241;255255000
vpja81;1;8861;9053;643,4;379,4;192;NA
vpja81;1;9084;9301;410,3;131,5;217;0
vpja81;1;9332;9549;357,3;-12,5;217;0
vpja81;1;9585;9763;494,4;-50,6999999999999;178;0
vpja81;1;9789;10000;523,3;-105,4;211;0
vpja81;2;410;558;-253,8;-226,1;148;255000
vpja81;2;573;870;-255,1;-249,1;297;255000
vpja81;2;928;1099;84,8;-274,7;171;0
vpja81;2;1132;1303;-56,6;-275,3;171;0
vpja81;2;1325;1474;-107,1;-248;149;0
vpja81;2;1587;1757;-237,8;-241,7;170;255000
vpja81;2;1824;2088;-131,6;336,4;264;255
vpja81;2;2110;2322;-128,7;298;212;255
vpja81;2;2352;2413;-246;247,1;61;2,55e+08
vpja81;2;3071;3175;-509,4;384,9;104;0
vpja81;2;3219;3359;-213,9;285,3;140;0
vpja81;2;3397;3727;-144,5;194,5;330;2,55e+08
vpja81;2;3742;3894;-135,9;212,9;152;2,55e+08
vpja81;2;3933;4225;-243,5;210,9;292;2,55e+08
vpja81;2;4400;4661;-221,1;-33,9;261;2,55e+08
vpja81;2;4689;5097;-251,5;-152,9;408;2,55e+08
vpja81;2;5142;5276;-271,3;75,5;134;2,55e+08
vpja81;2;5330;5452;-408;203,5;122;0
vpja81;2;5506;5643;-562,8;116;137;0
vpja81;2;5682;5783;-625,7;-33;101;0
vpja81;2;5853;6141;-233,3;-262,3;288;255000
vpja81;2;6175;6515;-232,5;-211,3;340;255000
vpja81;2;6686;6759;393,9;50,6;73;0
vpja81;2;6785;6972;418,8;61,9;187;0
vpja81;2;7019;7076;534,8;527,1;57;NA
vpja81;2;7094;7528;570,4;553,4;434;NA
vpja81;2;7605;7801;-87,5;390,1;196;0
vpja81;2;8247;8524;-478,8;290,9;277;0
vpja81;2;8963;9083;215,3;102,1;120;0
vpja81;2;9118;9289;288,4;69,1999999999999;171;0
vpja81;2;9357;9623;204,2;-251,2;266;0
vpja81;2;9661;9858;294,2;-355,7;197;0
vpja81;2;9915;10000;-49,5;-289,5;85;0
vpja81;3;315;479;-27,9;-249,6;164;255000
vpja81;3;492;556;-35,9;-261,9;64;255000
vpja81;3;701;930;-37,5;-281;229;255000
vpja81;3;1003;1352;-419,8;159,6;349;255255000
vpja81;3;1388;1582;-380,9;242,4;194;255255000
vpja81;3;1787;1996;360;263,4;209;255
vpja81;3;2015;2294;340,8;235,3;279;255
vpja81;3;2318;2545;352,2;289,8;227;255
vpja81;3;2567;2782;342,8;237,8;215;255
vpja81;3;2800;3133;332,1;214,5;333;255
vpja81;3;3167;3400;404;34,6;233;0
vpja81;3;3444;3589;347,6;200,4;145;255
vpja81;3;3753;3888;359,3;-120,1;135;0
vpja81;3;3934;4117;327,4;-300,3;183;0
vpja81;3;4179;4446;434,1;21,1;267;0
vpja81;3;4503;4637;340,2;225,6;134;255
vpja81;3;4686;4808;118,3;129,1;122;0
vpja81;3;4844;5226;27,3;105,5;382;2,55e+08
vpja81;3;5457;5481;68,9000000000001;223,7;24;0
vpja81;3;5539;5943;-17,5;62,8;404;2,55e+08
vpja81;3;5974;6253;-13,2;-98,4;279;2,55e+08
vpja81;3;6311;6480;274,6;10;169;0
vpja81;3;6682;6776;345,1;156,4;94;0
vpja81;3;6808;7083;353,9;259,3;275;255
vpja81;3;7118;7810;346,2;317,2;692;255
vpja81;3;7885;8031;4,10000000000002;-278,9;146;255000
vpja81;3;8056;8479;-33,5;-263,7;423;255000
vpja81;3;8514;8815;-22,8;-203,2;301;255000
vpja81;3;8879;9101;318,4;178,6;222;255
vpja81;3;9134;9232;350,9;219,2;98;255
vpja81;3;9482;9620;329,4;311,3;138;255
vpja81;3;9666;9975;427,9;80,1;309;0
vpja81;4;255;389;64,3000000000001;-69,6999999999999;134;255000
vpja81;4;411;766;77,1;-55,5;355;255000
vpja81;4;816;1187;298,7;89;371;255
vpja81;4;1370;1483;309,3;173;113;255
vpja81;4;1522;1841;68,4;211;319;0
vpja81;4;1891;2211;337,3;165,9;320;255
vpja81;4;2240;2490;272,2;106,2;250;255
vpja81;4;2537;2786;56,4;71,9000000000001;249;2,55e+08
vpja81;4;2990;3136;53,8000000000001;-37;146;255000
vpja81;4;3145;3582;74,9;-52,1999999999999;437;255000
vpja81;4;3673;3851;-556,5;106,8;178;0
vpja81;4;3883;4121;-563,8;155,3;238;0
vpja81;4;4165;4456;-591,5;335,7;291;0
