vp;trial;timest;timeend;x;y;duration;roi
vpja34;1;127;396;-14,1999999999999;-2,80000000000007;269;2,55e+08
vpja34;1;443;628;-27,1999999999999;-215,7;185;0
vpja34;1;659;1045;-65,9;-83,4;386;255255000
vpja34;1;1058;1251;-42,9;-71,7;193;255255000
vpja34;1;1258;1410;-41,3;-65,4000000000001;152;255255000
vpja34;1;1460;1762;-217;-35,7;302;255
vpja34;1;1771;2624;-228,4;-39,2;853;255
vpja34;1;2672;2799;-219,4;-190;127;0
vpja34;1;2829;3389;-188,6;-264;560;0
vpja34;1;3429;3575;4,39999999999998;-294,1;146;255000
vpja34;1;3590;3968;-8,29999999999995;-287,4;378;255000
vpja34;1;4029;4300;-30,9;-60,2;271;255255000
vpja34;1;4349;4673;-211;-21;324;255
vpja34;1;4724;4820;-190,4;-217,7;96;0
vpja34;1;4890;5163;383,4;-80,2;273;0
vpja34;1;5196;5382;505,9;-65,7;186;0
vpja34;1;5431;5728;300;-45,6;297;0
vpja34;1;5752;5960;225,3;-57,9000000000001;208;0
vpja34;1;5981;6215;190,5;-61,4000000000001;234;0
vpja34;1;6243;6598;279,5;-50,3000000000001;355;0
vpja34;1;6654;6818;298;-292,2;164;0
vpja34;1;6840;7188;290,8;-326,6;348;0
vpja34;1;7226;7440;430,7;-289,4;214;0
vpja34;1;7466;7653;457,8;-228,2;187;0
vpja34;1;7671;7770;451,7;-258,5;99;0
vpja34;1;7822;8312;533,7;-58,7;490;0
vpja34;1;8325;8570;513,2;-68,1;245;0
vpja34;1;8592;8717;553;-51,7;125;0
vpja34;1;8745;9060;468,2;-18,3000000000001;315;0
vpja34;1;9083;9993;432;-15,9000000000001;910;0
vpja34;2;405;647;-48;-285,2;242;2,55e+08
vpja34;2;718;886;348,4;284,3;168;255255000
vpja34;2;921;1129;481,7;355,8;208;255255000
vpja34;2;1219;1436;-508,1;317;217;0
vpja34;2;1463;1642;-516,2;399,8;179;255
vpja34;2;1661;2088;-528,8;418,2;427;255
vpja34;2;2097;2209;-541,1;430,6;112;255
vpja34;2;2286;2367;-182;-235,3;81;2,55e+08
vpja34;2;2413;2673;-93,3;-361,6;260;0
vpja34;2;2708;2998;-222,7;-300,4;290;0
vpja34;2;3034;3363;-348,9;-297,2;329;0
vpja34;2;3436;3748;333,4;-303,4;312;0
vpja34;2;3769;4111;366,5;-302,9;342;0
vpja34;2;4140;4315;265,2;-261,5;175;0
vpja34;2;4376;4723;-47,1999999999999;-396,6;347;255000
vpja34;2;4782;5087;-334;-401,5;305;0
