vp;trial;timest;timeend;x;y;duration;roi
vpja27;1;534;633;-6,20000000000005;-237,7;99;0
vpja27;1;655;878;-29,6;-275,2;223;255000
vpja27;1;895;1559;-49,8;-260,6;664;0
vpja27;1;1600;1697;-215;-186,5;97;0
vpja27;1;1769;1941;-89,8;3,10000000000002;172;255255000
vpja27;1;1980;2142;-225,5;-23,4;162;255
vpja27;1;2197;2221;-610,6;59,4;24;0
vpja27;1;2368;2510;-603,5;35,1;142;0
vpja27;1;2571;3182;-72,2;-3,30000000000007;611;255255000
vpja27;1;3210;3548;-130,9;-8,10000000000002;338;0
vpja27;1;3610;3890;378,3;-9,70000000000005;280;0
vpja27;1;3915;4328;438,6;-13,6;413;0
vpja27;1;4353;4470;520,7;3,10000000000002;117;0
vpja27;1;4514;4602;500,4;-171,5;88;0
vpja27;1;4630;4833;433,2;-238,8;203;0
vpja27;1;4875;5130;256,3;-312,3;255;0
vpja27;1;5149;5551;279,4;-358,4;402;0
vpja27;1;5653;5835;426,7;159,6;182;0
vpja27;1;5893;5945;-82,7;360,1;52;0
vpja27;1;6090;6132;-171,1;410,6;42;0
vpja27;1;6307;6421;-323,4;398,6;114;0
vpja27;1;6450;6872;-349,3;450,3;422;0
vpja27;1;6930;7134;-526,2;305,9;204;0
vpja27;1;7180;7325;-550,1;90,6999999999999;145;0
vpja27;1;7363;7490;-443,5;31,6;127;0
vpja27;1;7530;7745;-466,9;-94,2;215;0
vpja27;1;7777;7979;-508,2;7,60000000000002;202;0
vpja27;1;8017;8469;-531;-157,3;452;0
vpja27;1;8527;8730;-80,8;-49,9;203;0
vpja27;1;8770;8988;-30,4;-194;218;0
vpja27;1;9013;9139;-61,2;-249,3;126;0
vpja27;1;9161;9328;-35,6;-276,9;167;255000
vpja27;1;9339;9652;-55;-281;313;0
vpja27;1;9676;9838;-8,70000000000005;-265,9;162;255000
vpja27;1;9960;10000;43,7;133,7;40;2,55e+08
vpja27;2;307;474;-89,6;-136,5;167;255000
vpja27;2;484;1334;-96,9;-149,7;850;255000
vpja27;2;1373;1659;-81,6999999999999;-36,5;286;2,55e+08
vpja27;2;1684;1811;-113,9;5,89999999999998;127;0
vpja27;2;1832;2037;-124,6;52,5;205;2,55e+08
vpja27;2;2047;2462;-110,4;56,5;415;2,55e+08
vpja27;2;2501;2731;-62,6;-89,3;230;2,55e+08
vpja27;2;2758;3268;-113,4;-154,8;510;255000
vpja27;2;3312;3482;87,1;-245,7;170;0
vpja27;2;3507;3699;85,9;-329,3;192;0
vpja27;2;3729;3905;28,6;-368,5;176;0
vpja27;2;3953;4113;-139,3;-136,9;160;0
vpja27;2;4159;4393;104,8;-344,6;234;0
vpja27;2;4529;4619;-475,7;-90,6;90;0
vpja27;2;4667;4824;-90,5;-152,5;157;255000
