vp;trial;timest;timeend;x;y;duration;roi
vpja16;1;367;525;-12,4;-203,8;158;255000
vpja16;1;553;995;-20,8;-255,6;442;255000
vpja16;1;1233;1277;-400,1;187,2;44;0
vpja16;1;1589;1907;394,2;226,7;318;255255000
vpja16;1;1934;2276;426,5;277,3;342;255255000
vpja16;1;2704;2724;1186,6;-892,3;20;NA
vpja16;1;3026;3127;-11,5;-99;101;2,55e+08
vpja16;1;3180;3607;-12,1;-228,9;427;255000
vpja16;1;3629;3774;-19,8;-256,5;145;255000
vpja16;1;3812;3947;-25;-210,8;135;255000
vpja16;1;3982;4331;97,8000000000001;-366,3;349;0
vpja16;1;4378;4542;2,30000000000007;-287,2;164;255000
vpja16;1;4579;4771;-28,9;-256,4;192;255000
vpja16;1;4844;5377;-385,8;-1,10000000000002;533;0
vpja16;1;5417;5679;-426,4;36,5999999999999;262;0
vpja16;1;5729;5968;-399,8;199,1;239;0
vpja16;1;6010;6235;-392;264,7;225;255
vpja16;1;6580;6755;360,1;215,3;175;255255000
vpja16;1;6782;6997;408,6;255,1;215;255255000
vpja16;1;7048;7279;425,4;124;231;0
vpja16;1;7329;7503;388,7;7,29999999999995;174;0
vpja16;1;7578;7760;95,1;-313,2;182;0
vpja16;1;7806;8238;87,8000000000001;-404,1;432;0
vpja16;1;8290;8406;-12,8;-295,7;116;255000
vpja16;1;8448;8696;-28,5;-240,5;248;255000
vpja16;1;8718;8911;-25,3;-211,2;193;255000
vpja16;1;8924;9370;-18,9;-225;446;255000
vpja16;1;9563;9831;-31,8;-255,3;268;255000
vpja16;1;9904;10000;-470,3;-189,9;96;0
vpja16;2;332;662;-81,2;-141,5;330;255000
vpja16;2;721;841;-155,9;61,8;120;2,55e+08
vpja16;2;889;1161;-284,3;136,6;272;255255000
vpja16;2;1184;1586;-303,1;160,7;402;0
vpja16;2;1646;1875;27,6;123,6;229;255
vpja16;2;1899;2143;28,3;155,7;244;255
vpja16;2;2348;2503;-342,8;160,4;155;0
vpja16;2;2542;2852;-290,1;159,5;310;0
vpja16;2;2875;3158;-315,2;176,3;283;255255000
vpja16;2;3341;3411;-294,2;136,3;70;255255000
vpja16;2;3467;3815;11,1;107,8;348;255
vpja16;2;3873;4050;-271,5;163,3;177;0
vpja16;2;4088;4466;-315,6;164,6;378;0
vpja16;2;4494;4669;-277,8;138,9;175;255255000
vpja16;2;4736;4884;-96,8000000000001;-183,9;148;255000
vpja16;2;4905;5115;-89,4;-158,3;210;255000
vpja16;2;5172;5455;62;-312,7;283;0
vpja16;2;5490;5757;35,8;-412,7;267;0
vpja16;2;5838;6254;-445;-127,6;416;0
vpja16;2;6296;6495;-464;-71,8000000000001;199;0
vpja16;2;6536;6715;-457,3;-15,1;179;0
vpja16;2;6841;7111;-476,3;8,79999999999995;270;0
vpja16;2;7166;7439;-476,1;200,2;273;0
vpja16;2;7466;7624;-495,8;246,6;158;0
vpja16;2;7695;7991;-457;-138;296;0
vpja16;2;8015;8434;-473,3;-134,4;419;0
vpja16;2;8468;8668;-447,3;-195,5;200;0
vpja16;2;8927;9217;316,5;59,3;290;0
vpja16;2;9245;9438;285,7;92,1;193;0
vpja16;2;9632;9834;105,3;-324,1;202;0
vpja16;2;9880;10000;88,9;-400,7;120;0
vpja16;3;365;603;2,58500216762309;-372,403358299568;238;255000
vpja16;3;839;865;1185,98500216762;-901,503358299568;26;NA
vpja16;3;942;1039;1213,18500216762;-882,403358299568;97;NA
vpja16;3;1060;1161;1187,78500216762;-917,103358299568;101;NA
vpja16;3;1253;1411;408,085002167623;343,296641700432;158;255255000
vpja16;3;1453;1663;438,685002167623;400,696641700432;210;255255000
vpja16;3;1685;1925;420,085002167623;422,996641700432;240;0
vpja16;3;1968;2217;492,285002167623;416,996641700432;249;0
vpja16;3;2303;2486;310,685002167623;-114,203358299568;183;0
vpja16;3;2534;2899;317,085002167623;-205,703358299568;365;0
vpja16;3;3089;3267;-42,7149978323769;-350,803358299568;178;255000
vpja16;3;3319;3549;-190,214997832377;-272,303358299568;230;0
vpja16;3;3604;3981;-3,61499783237696;-365,303358299568;377;255000
vpja16;3;4002;4247;10,4850021676231;-379,203358299568;245;255000
vpja16;3;4293;4452;-1,61499783237696;-302,403358299568;159;255000
vpja16;3;4514;4824;-262,214997832377;-401,903358299568;310;0
vpja16;3;4877;5185;-295,414997832377;-252,603358299568;308;0
vpja16;3;5243;5506;-495,714997832377;-282,903358299568;263;0
vpja16;3;5547;5833;-482,214997832377;-437,303358299568;286;0
vpja16;3;5907;6117;10,1850021676231;-395,903358299568;210;255000
vpja16;3;6157;6273;18,2850021676231;-355,603358299568;116;255000
vpja16;3;6348;6586;451,385002167623;-179,303358299568;238;0
vpja16;3;6617;7045;422,085002167623;-240,603358299568;428;0
vpja16;3;7094;7395;570,785002167623;-171,403358299568;301;0
vpja16;3;7592;7678;343,185002167623;-246,703358299568;86;0
vpja16;3;7720;7993;279,485002167623;-206,003358299568;273;0
vpja16;3;8024;8287;270,985002167623;-261,603358299568;263;0
vpja16;3;8326;8511;386,085002167623;-250,703358299568;185;0
vpja16;3;8595;8996;360,685002167623;281,596641700432;401;0
vpja16;3;9078;9229;-261,114997832377;238,296641700432;151;255
vpja16;3;9279;9599;-375,914997832377;4,59664170043209;320;0
vpja16;3;9633;10000;-333,014997832377;-69,803358299568;367;0
vpja16;4;311;595;-56,8267326732672;-224,335643564356;284;255000
vpja16;4;676;829;-427,526732673267;161,364356435644;153;255
vpja16;4;870;1193;-467,526732673267;206,764356435644;323;255
vpja16;4;1282;1653;334,373267326733;185,864356435644;371;255255000
vpja16;4;1678;1972;362,973267326733;212,464356435644;294;255255000
vpja16;4;2021;2179;350,373267326733;128,564356435644;158;255255000
vpja16;4;2398;2485;185,073267326733;82,2643564356435;87;0
vpja16;4;2554;2716;-19,3267326732672;-207,535643564356;162;255000
vpja16;4;2743;3172;-58,1267326732673;-210,435643564356;429;255000
vpja16;4;3219;3353;-42,5267326732672;-95,6356435643564;134;2,55e+08
vpja16;4;3427;3850;-480,426732673267;-21,4356435643564;423;0
vpja16;4;3888;4119;-394,726732673267;-85,5356435643564;231;0
vpja16;4;4138;4540;-405,226732673267;-56,9356435643564;402;0
vpja16;4;4597;4917;-45,9267326732672;-218,735643564356;320;255000
vpja16;4;4931;5175;-51,1267326732673;-204,435643564356;244;255000
vpja16;4;5197;5558;-42,7267326732672;-233,335643564356;361;255000
vpja16;4;5571;5735;-50,3267326732672;-219,735643564356;164;255000
vpja16;4;5922;6117;484,673267326733;-111,535643564356;195;0
vpja16;4;6143;6309;525,173267326733;-91,3356435643564;166;0
vpja16;4;6387;6541;-22,9267326732672;-177,135643564356;154;255000
vpja16;4;6571;6748;-51,6267326732673;-210,135643564356;177;255000
vpja16;4;6804;7050;-6,22673267326718;-31,3356435643564;246;2,55e+08
vpja16;4;7074;7487;7,47326732673275;2,26435643564355;413;2,55e+08
vpja16;4;7503;7657;12,5732673267328;0,66435643564364;154;2,55e+08
vpja16;4;7847;8069;-493,226732673267;-67,8356435643564;222;0
vpja16;4;8110;8524;-521,026732673267;-5,33564356435636;414;0
vpja16;4;8576;8776;-463,826732673267;-114,735643564356;200;0
vpja16;4;8815;9035;-414,026732673267;-103,535643564356;220;0
vpja16;4;9103;9521;-417,426732673267;-375,235643564356;418;0
vpja16;4;9547;9741;-372,826732673267;-343,235643564356;194;0
vpja16;4;9949;10000;456,773267326733;-236,935643564356;51;0
vpja16;5;288;523;61,3;-40,2;235;255000
vpja16;5;575;732;83,9;138,6;157;2,55e+08
vpja16;5;787;1071;296,8;123,8;284;255
vpja16;5;1333;1527;268,5;110,6;194;255
vpja16;5;1540;1759;283,3;112,4;219;255
vpja16;5;1800;2034;163,7;13,6999999999999;234;0
vpja16;5;2086;2287;296;92;201;255
vpja16;5;2310;2591;297,8;123,5;281;255
vpja16;5;2648;2987;66,9;171,5;339;255255000
vpja16;5;3045;3280;67,1;-27,1;235;255000
vpja16;5;3317;3604;126,5;-83,9000000000001;287;0
vpja16;5;3643;4002;70,3000000000001;-54,8000000000001;359;255000
vpja16;5;4012;4266;66,6999999999999;-43,7;254;255000
vpja16;5;4283;4497;68,8000000000001;-51,8000000000001;214;255000
vpja16;5;4551;4715;-1,30000000000007;-170,1;164;0
vpja16;5;4732;5263;-19,8000000000001;-190,7;531;0
vpja16;5;5324;5627;310,2;-165,3;303;0
vpja16;5;5642;5855;320,6;-150,1;213;0
vpja16;5;5884;6145;389,7;-155,9;261;0
vpja16;5;6304;6641;-561;163,4;337;0
vpja16;5;6662;7049;-578,7;137,9;387;0
vpja16;5;7097;7128;-562,4;265,7;31;0
vpja16;5;7455;7591;46,1999999999999;100;136;2,55e+08
vpja16;5;7641;7789;44;-32,4000000000001;148;255000
vpja16;5;7809;7990;69,1;-41,5;181;255000
vpja16;5;8223;8297;66,1999999999999;-38,4000000000001;74;255000
vpja16;5;8355;8623;273,2;128,7;268;0
vpja16;5;8664;8791;261,5;179,2;127;255
vpja16;5;8866;9307;129,9;-220;441;0
vpja16;5;9337;9510;150,9;-282,4;173;0
vpja16;5;9545;10000;276;-304,5;455;0
vpja16;6;350;493;167;158,1;143;255
vpja16;6;519;745;192,1;194,5;226;255
vpja16;6;920;954;1173,2;-893,6;34;NA
vpja16;6;1071;1101;1171,7;-896,7;30;NA
vpja16;6;1146;1212;1180,1;-886;66;NA
vpja16;6;1233;1274;1174,4;-893,5;41;NA
vpja16;6;1381;1476;1168;-909,1;95;NA
vpja16;6;1498;1682;1166,4;-908,7;184;NA
vpja16;6;1703;1753;1177,8;-892,7;50;NA
vpja16;6;1792;1815;1176,5;-893,7;23;NA
vpja16;6;1875;1906;1179;-890,2;31;NA
vpja16;6;1990;2405;-331,6;-188,5;415;255000
vpja16;6;2423;2827;-316,4;-175,8;404;255000
vpja16;6;2835;3052;-316,8;-181,5;217;255000
vpja16;6;3120;3255;85,7;-105,6;135;0
vpja16;6;3304;3598;253,5;-56,3;294;0
vpja16;6;3655;3870;187,2;166;215;255
vpja16;6;4126;4279;186,2;176,1;153;255
vpja16;6;4302;4712;191,2;210,8;410;255
vpja16;6;4755;4983;196;278;228;0
vpja16;6;5017;5265;201,7;188,2;248;255
vpja16;6;5284;5510;191,5;167,3;226;255
vpja16;6;5524;5722;194,9;186,9;198;255
vpja16;6;6470;6510;1304,1;-673,3;40;NA
vpja16;6;6866;6908;-149,1;283,4;42;0
vpja16;6;6979;7027;-436,9;369,6;48;255255000
vpja16;6;7068;7287;-429,9;366,1;219;255255000
vpja16;6;7378;7620;-311,4;-192,5;242;255000
vpja16;6;7635;8022;-315,7;-175,6;387;255000
vpja16;6;8051;8344;-331;-132,2;293;2,55e+08
vpja16;6;8375;8643;-316,5;-195,6;268;255000
vpja16;6;8670;8807;-304,7;-239,4;137;255000
vpja16;6;8867;9109;-540,1;-160,7;242;0
vpja16;6;9206;9556;259,4;-33,5;350;0
vpja16;6;9583;9694;291,4;0,400000000000091;111;0
vpja16;6;9909;10000;419,5;-212,7;91;0
vpja16;7;313;586;11,03698630137;-265,116438356165;273;255000
vpja16;7;601;888;-4,46301369862999;-287,916438356164;287;255000
vpja16;7;906;1143;-9,86301369863008;-257,616438356165;237;255000
vpja16;7;1167;1333;-3,86301369863008;-282,916438356164;166;255000
vpja16;7;1519;1682;-388,66301369863;103,383561643835;163;0
vpja16;7;1707;2189;-380,86301369863;133,683561643836;482;0
vpja16;7;2268;2447;246,73698630137;89,3835616438355;179;255255000
vpja16;7;2466;2722;269,13698630137;110,983561643836;256;255255000
vpja16;7;2926;2954;-364,16301369863;76,3835616438355;28;0
vpja16;7;2960;3100;-363,06301369863;112,583561643836;140;255
vpja16;7;3122;3506;-375,86301369863;144,083561643836;384;0
vpja16;7;3527;3804;-372,56301369863;115,883561643835;277;255
vpja16;7;4038;4207;-28,7630136986301;9,58356164383554;169;2,55e+08
vpja16;7;4271;4493;-0,763013698630061;-237,216438356164;222;255000
vpja16;7;4516;4652;-6,16301369863004;-264,116438356165;136;255000
vpja16;7;4722;4925;539,13698630137;-56,7164383561645;203;0
vpja16;7;5004;5217;13,1369863013699;-262,916438356164;213;255000
vpja16;7;5240;5628;-12,16301369863;-252,916438356164;388;255000
vpja16;7;5825;6060;-424,06301369863;-31,9164383561645;235;0
vpja16;7;6111;6519;-551,66301369863;56,2835616438355;408;0
vpja16;7;6608;6710;-146,16301369863;519,883561643836;102;NA
vpja16;7;6742;6872;-80,3630136986301;461,483561643836;130;0
vpja16;7;6922;7064;88,1369863013699;437,383561643836;142;0
vpja16;7;7150;7332;-4,56301369863002;-223,016438356164;182;255000
vpja16;7;7358;7788;-11,7630136986301;-271,816438356164;430;255000
vpja16;7;7985;8139;-33,96301369863;-266,416438356164;154;255000
vpja16;7;8152;9278;-12,2630136986301;-265,716438356164;1126;255000
vpja16;7;9288;9580;1,23698630136994;-268,016438356164;292;255000
vpja16;7;9819;9968;-11,46301369863;-231,316438356164;149;255000
vpja16;8;296;509;-87,9;-148,2;213;255000
vpja16;8;559;668;-217,6;41,1;109;2,55e+08
vpja16;8;705;1133;-258,1;80,4;428;255
vpja16;8;1193;1402;78,8;92,1;209;0
vpja16;8;1425;1644;111,5;115,9;219;0
vpja16;8;1666;2118;143,7;119;452;255255000
vpja16;8;2129;2330;136,9;103,6;201;255255000
vpja16;8;2561;2732;128,1;101,8;171;255255000
vpja16;8;2753;3046;146,9;119;293;255255000
vpja16;8;3062;3302;139,7;103,7;240;255255000
vpja16;8;3318;3580;149,6;123,1;262;255255000
