vp;trial;timest;timeend;x;y;duration;roi
vpja52;1;422;549;-93,3;-221,9;127;255000
vpja52;1;571;1617;-110,6;-232,9;1046;255000
vpja52;1;1701;1947;-456,8;-20,5;246;255
vpja52;1;1987;2707;-477,6;-0,799999999999955;720;255
vpja52;1;2740;3037;-518,7;4,80000000000007;297;255
vpja52;1;3078;3186;-455,5;-28,6;108;255
vpja52;1;3264;3385;-92,9;-227,8;121;255000
vpja52;1;3417;3677;-120,6;-225,2;260;0
vpja52;1;3760;4042;562,3;-140,5;282;0
vpja52;1;4074;4320;581,1;-131,6;246;0
vpja52;1;4411;4642;-26,7;82,9;231;255255000
vpja52;1;4666;5854;-32,3;47,7;1188;255255000
vpja52;1;5916;6030;-93,5;-209,5;114;255000
vpja52;1;6063;6635;-113,5;-224;572;255000
vpja52;1;6691;6828;-148,8;-111,2;137;0
vpja52;1;6879;7119;-118,1;-228,4;240;255000
vpja52;1;7138;8508;-117,7;-222,7;1370;0
vpja52;1;8575;8757;-377,2;-327,6;182;0
vpja52;1;8806;9093;-484,2;-378,6;287;0
vpja52;1;9174;9371;192,2;-422,8;197;0
vpja52;1;9434;10000;492,7;-405;566;0
vpja52;2;89;233;2,89999999999998;-0,200000000000045;144;255255000
vpja52;2;302;802;-350;-145,2;500;255000
vpja52;2;859;1082;-327,7;73,4;223;255
vpja52;2;1139;1365;-345,2;-128,9;226;255000
vpja52;2;1391;1585;-326,3;-153,2;194;255000
vpja52;2;1621;2378;-351,9;-149;757;255000
vpja52;2;2401;2557;-333,3;-147,7;156;255000
vpja52;2;2632;2905;33,3;-19,5;273;255255000
vpja52;2;2984;3238;506,8;-203,5;254;0
vpja52;2;3274;3424;614,5;-173,9;150;0
vpja52;2;3467;3625;435,5;-150,2;158;0
vpja52;2;3650;3758;450,2;-150,5;108;0
vpja52;2;3822;4033;123;-441;211;0
vpja52;2;4070;4264;75,4;-418,8;194;0
vpja52;2;4297;4439;67,1;-430,7;142;0
vpja52;2;4505;4741;-151;-276,3;236;0
vpja52;2;4793;4951;-42,9;-240,3;158;0
vpja52;2;5022;5261;-236,2;-169,8;239;0
vpja52;2;5287;5556;-216,1;-199,9;269;0
vpja52;2;5653;5869;-504,2;412,9;216;0
vpja52;2;5916;6003;-538,1;450,6;87;0
vpja52;2;6104;6326;418;339;222;0
vpja52;2;6388;6495;168;185,2;107;0
vpja52;2;6550;6667;30,1;44,1999999999999;117;255255000
vpja52;2;6750;6940;-351,1;-160,3;190;255000
vpja52;2;6971;7862;-353,6;-147,9;891;255000
vpja52;2;7938;8138;-382,8;30,1999999999999;200;2,55e+08
vpja52;2;8200;8817;-403,1;144,6;617;2,55e+08
vpja52;2;8873;9132;-273,1;71,4;259;255
vpja52;2;9190;9546;-335;-130,3;356;255000
vpja52;2;9576;10000;-352,5;-153,9;424;255000
vpja52;3;303;447;-189;-254,8;144;255000
vpja52;3;478;1093;-224,2;-268,8;615;255000
vpja52;3;1155;1478;11,6;-293,9;323;0
vpja52;3;1521;2003;-61,6999999999999;-245,9;482;0
vpja52;3;2013;2312;-50,8;-243,2;299;0
vpja52;3;2365;2637;-201,3;-256,7;272;255000
vpja52;3;2657;2929;-211,3;-259,3;272;255000
vpja52;3;2955;3151;-207;-245,3;196;255000
vpja52;3;3232;3442;-139,8;289,1;210;255
vpja52;3;3519;3749;-371,7;256,9;230;0
vpja52;3;3820;4386;-129,6;252,8;566;255
vpja52;3;4461;4705;-430,1;292,4;244;255255000
vpja52;3;4738;5181;-461,9;272,1;443;255255000
vpja52;3;5253;5375;-551;-49;122;0
vpja52;3;5435;5621;-582,8;-229,1;186;0
vpja52;3;5676;5887;-624,7;-173,2;211;0
vpja52;3;5943;6130;-585,1;-301,3;187;0
vpja52;3;6227;6398;183,9;-296,8;171;0
vpja52;3;6458;6609;317,9;-378,7;151;0
vpja52;3;6634;6827;340,4;-384,8;193;0
vpja52;3;6843;7177;323,9;-391,4;334;0
vpja52;3;7209;7765;294,5;-349,7;556;0
vpja52;3;7784;7960;293,7;-328,8;176;0
vpja52;3;8016;8490;147,5;-276,8;474;0
vpja52;3;8532;8990;15,4000000000001;-295,9;458;0
vpja52;3;9029;9435;-50,1999999999999;-248,8;406;0
vpja52;3;9483;9716;39,8000000000001;-216,5;233;0
vpja52;3;9750;9970;16,6;-215,3;220;0
vpja52;4;312;468;-150,4;-211,4;156;255000
vpja52;4;489;1209;-163,8;-236,5;720;255000
vpja52;4;1229;1973;-165;-236,1;744;255000
vpja52;4;1981;2152;-155,7;-231,4;171;255000
vpja52;4;2211;2803;-42,2;-418,1;592;0
vpja52;4;2836;2987;-99,2;-408;151;0
vpja52;4;3091;3275;-443,1;239,7;184;255
vpja52;4;3333;3719;-500,4;325,7;386;255
vpja52;4;3781;3999;-466,5;-10,6;218;0
vpja52;4;4035;4191;-443,4;15,5;156;0
vpja52;4;4252;4727;-488,2;334,1;475;255
vpja52;4;4803;5058;-441,4;-8;255;0
vpja52;4;5077;5277;-420,7;-7,90000000000009;200;0
vpja52;4;5315;5630;-387,7;17;315;0
vpja52;4;5649;5837;-385,3;20,3;188;0
vpja52;4;5930;6292;283,3;-30,7;362;255255000
vpja52;4;6352;6885;353;18;533;255255000
vpja52;4;6957;7287;343,6;215,8;330;0
vpja52;4;7347;7685;331,7;-5;338;255255000
vpja52;4;7711;8271;314,2;-45,3000000000001;560;255255000
vpja52;4;8306;8852;340,4;-61,4000000000001;546;255255000
vpja52;4;8861;10000;340,8;-74,1;1139;255255000
vpja52;5;124;240;0,800000000000068;30,6;116;2,55e+08
vpja52;5;302;433;-59;-217;131;255000
vpja52;5;459;726;-42,6999999999999;-233,9;267;255000
vpja52;5;767;1146;-65,4;-182,9;379;255000
vpja52;5;1215;1345;61,3000000000001;42;130;0
vpja52;5;1407;1661;178,7;138;254;255
vpja52;5;1738;1985;-209,7;233,4;247;255255000
vpja52;5;2000;2141;-191,8;241,4;141;255255000
vpja52;5;2172;2569;-168;253,7;397;255255000
vpja52;5;2619;2786;-152;110,3;167;2,55e+08
vpja52;5;2819;2949;-115,6;129,7;130;2,55e+08
vpja52;5;3014;3185;-381,3;64,2;171;2,55e+08
vpja52;5;3214;3263;-400,9;62,5;49;2,55e+08
vpja52;5;3333;3488;-68,4;108,5;155;2,55e+08
vpja52;5;3522;3873;-45,8;124,9;351;2,55e+08
vpja52;5;3923;4567;-129,6;132;644;2,55e+08
vpja52;5;4644;4721;234,4;211,8;77;0
vpja52;5;4748;4964;183,1;155,3;216;255
vpja52;5;4985;5305;178,3;137,1;320;255
vpja52;5;5384;5607;-217,6;231;223;255255000
vpja52;5;5643;5792;-178,6;250;149;255255000
