vp;trial;pic;iti;blx;bly;blok
vpja22;1;10B;12692,8;994,66263192229;555,890469281213;0
vpja22;2;1B;13776,8;973,855;553,435357142857;1
vpja22;3;24B;13460;971,862277580071;553,367259786477;1
vpja22;4;23A;13359,9;985,615714285714;554,657142857143;1
vpja22;5;15C;14060,5;992,8;549,1;1
vpja22;6;16D;13293,1;1001,4;544,6;1
vpja22;7;6D;13209,8;995,7;565,7;1
vpja22;8;5A;12943;994,167491166078;557,3;1
vpja22;9;12A;12792,8;962,69696969697;568,719913419913;1
vpja22;10;26C;12526;995,710780669145;554,630855018587;1
vpja22;11;20D;12359,1;981,898269896194;552,416955017301;1
vpja22;12;3A;13843,6;982,113571428571;536,532857142857;1
vpja22;13;21A;12309,2;994,66263192229;555,890469281213;0
vpja22;14;7C;13610,1;994,66263192229;555,890469281213;0
vpja22;15;13D;12659,3;1028,9;559,5;1
vpja22;16;14B;13743,6;991,9;563,7;1
vpja22;17;8D;12692,7;994,66263192229;555,890469281213;0
vpja22;18;9B;13626,8;998,8;572,7;1
vpja22;19;19A;12742,8;1014,30034246575;579,769178082192;1
vpja22;20;4D;13443,3;988,3;560,769387755102;1
vpja22;21;22A;12342,5;998,8;552,8;1
vpja22;22;11A;13309,9;1004,4;537,4;1
vpja22;23;17D;13676,8;1016,8;556,6;1
vpja22;24;18A;12342,5;1003,14429065744;540,671626297578;1
vpja22;25;25C;13426,6;1004,1;562,1;1
vpja22;26;2B;0;995,313194444444;553,119791666667;1
