vp;trial;pic;iti;blx;bly;blok
vpja68;1;4D;13843,6;952,587912087912;600,68315018315;1
vpja68;2;16A;13760,2;959,2;600,3;1
vpja68;3;6D;12676,1;964,3;594,7;1
vpja68;4;2D;13793,5;954,8;603,6;1
vpja68;5;24B;12142,4;964,5;602,3;1
vpja68;6;18B;13476,6;969,5;594,6;1
vpja68;7;21B;13760,3;960,74326286355;599,599210372385;0
vpja68;8;14D;13543,3;960,3;599,6;1
vpja68;9;19D;12726,1;968,559589041096;598,954109589041;1
vpja68;10;26B;13476,7;955,8;601,7;1
vpja68;11;15B;13843,6;959,5;600,4;1
vpja68;12;9A;12509,3;965,2;598,6;1
vpja68;13;7B;12475,9;963,1;597,9;1
vpja68;14;22B;13776,9;956,4;602,6;1
vpja68;15;23B;13660,1;956,5;601;1
vpja68;16;1D;13810,3;963,7;601,5;1
vpja68;17;13D;14060,4;958,9;595,7;1
vpja68;18;8A;13860,3;956,5;603,3;1
vpja68;19;10A;13159,7;958,3;595,1;1
vpja68;20;3A;12742,8;954,8;601,3;1
vpja68;21;17B;13760,2;970,8;593,1;1
vpja68;22;12C;12275,8;955,9;595,4;1
vpja68;23;25B;13026,3;959,9;600;1
vpja68;24;5C;14060,5;963,249800796813;606,498804780876;1
vpja68;25;11C;13660,1;959,5;597,6;1
vpja68;26;20A;0;966,784269662921;603,544194756554;1
