vp;trial;pic;iti;blx;bly;blok
vpja30;1;21A;14060,3;941,9;600,8;1
vpja30;2;14B;12492,4;959,6;568,7;1
vpja30;3;17B;13609,9;978;561,1;1
vpja30;4;26B;12275,7;990;541,3;1
vpja30;5;1D;13359,7;950,5;580,6;1
vpja30;6;2D;13059,5;945,8;572,5;1
vpja30;7;24D;12759,3;976,5;569,1;1
vpja30;8;15C;12509,2;960,3;564,7;1
vpja30;9;9A;13559,9;942,169230769231;581,105944055944;1
vpja30;10;11A;13576,6;970,4;554,5;1
vpja30;11;3B;12926,1;965,3;533,3;1
vpja30;12;16C;13293;965,478350515464;561,534020618557;1
vpja30;13;4A;13810,1;937,795667870036;522,868953068592;1
vpja30;14;23C;12959,5;940;570,1;1
vpja30;15;22B;12742,6;952,9953653695;564,155255085174;0
vpja30;16;18C;13293,1;952,9953653695;564,155255085174;0
vpja30;17;12C;13793,4;938,5;588,5;1
vpja30;18;8A;12892,7;939,9;566,3;1
vpja30;19;7C;13626,6;949,6;570,6;1
vpja30;20;20A;12659,3;942,645519713262;569,517204301075;1
vpja30;21;6D;13376,4;942,6;558,4;1
vpja30;22;10D;13176,3;938,7;536,7;1
vpja30;23;13A;12292,3;948,6;550,9;1
vpja30;24;5C;12992,9;941,5;579,8;1
vpja30;25;25B;12175,5;945,3;581,4;1
vpja30;26;19B;0;960,8;555,4;1
