vp;trial;pic;iti;blx;bly;blok
vpja27;1;24B;12909,6;970,5;602,6;1
vpja27;2;3A;13760,2;961,4;611,4;1
vpja27;3;13B;13209,8;965,2;597,4;1
vpja27;4;11B;13410;957,9;595,4;1
vpja27;5;2A;12392,5;972;606,4;1
vpja27;6;25B;12475,9;960,6;617,6;1
vpja27;7;8D;12492,6;972,5;619,2;1
vpja27;8;16B;14110,5;956,8;615,6;1
vpja27;9;9A;12576;951,6;626,8;1
vpja27;10;21D;12342,5;967,8;630,4;1
vpja27;11;23C;12542,6;954,5;639,4;1
vpja27;12;6B;13610,1;960;609;1
vpja27;13;14A;12325,8;959,2;621,9;1
vpja27;14;26D;12742,8;956,74705882353;640,623529411765;1
vpja27;15;10D;12275,8;943,8;618,3;1
vpja27;16;7C;13910,3;956,3;647,1;1
vpja27;17;17D;12225,7;967,2;629;1
vpja27;18;22C;12842,9;964,510071942446;645,391366906475;1
vpja27;19;4B;12425,9;963,5;643,4;1
vpja27;20;20D;12892,9;950,4;635,9;1
vpja27;21;5B;14093,8;959,4;634;1
vpja27;22;12B;13843,6;951;626,9;1
vpja27;23;1B;14060,4;949,2;626,4;1
vpja27;24;19D;13743,6;950;629,4;1
vpja27;25;15D;13326,5;954,8;624,5;1
vpja27;26;18D;0;951,3;619,7;1
