vp;trial;pic;iti;blx;bly;blok
vpja49;1;6A;12592,7;978;582,8;1
vpja49;2;4B;13393,3;986,471875;545,275;1
vpja49;3;14A;12525,9;996,8;554,8;1
vpja49;4;17A;13426,7;998,3;555,6;1
vpja49;5;23C;13910,3;1016,9;549,8;1
vpja49;6;26C;12709,4;998,3;566;1
vpja49;7;7D;12242,4;1002,6;548,2;1
vpja49;8;20C;12993;1008,01960726351;547,980719428445;0
vpja49;9;3C;13643,4;1021,4;554,3;1
vpja49;10;2D;13443,3;1008,01960726351;547,980719428445;0
vpja49;11;15A;12809,5;1029,2;518;1
vpja49;12;8A;13109,8;1024,9;562,2;1
vpja49;13;25B;12742,7;1011;544,093442622951;1
vpja49;14;9B;13660,2;1014,9;548,8;1
vpja49;15;12B;12225,7;1023;584,3;1
vpja49;16;21A;13843,6;1008,01960726351;547,980719428445;0
vpja49;17;1C;13760,2;1007,8;552,1;1
vpja49;18;24A;13660,2;1008,01960726351;547,980719428445;0
vpja49;19;10B;14043,7;1002,5;550,1;1
vpja49;20;19B;12859,5;1008,01960726351;547,980719428445;0
vpja49;21;18B;12492,6;1021,12027027027;527,445945945946;1
vpja49;22;13C;13143,1;1005,1;527,5;1
vpja49;23;5A;13560,1;1008,9;531,2;1
vpja49;24;22D;12692,7;1010,7;533,8;1
vpja49;25;16D;13143,1;1008,01960726351;547,980719428445;0
vpja49;26;11D;0;1002,5;523,3;1
