vp;trial;pic;iti;blx;bly;blok
vpja63;1;10B;13499,7;955,4;545,1;1
vpja63;2;8A;12542,7;955,9;561;1
vpja63;3;23B;13810,2;957,4;572,2;1
vpja63;4;12D;12742,8;952,4;564,8;1
vpja63;5;3C;12659,4;954,849829351536;568,594197952218;1
vpja63;6;15D;12175,7;953,023398062061;579,257559972147;0
vpja63;7;19C;14010,4;953,023398062061;579,257559972147;0
vpja63;8;5A;13660,1;951,4;557,7;1
vpja63;9;25B;12709,4;956,2;565,6;1
vpja63;10;22B;12776,2;954,6;577,8;1
vpja63;11;6B;13543,3;958,4;587,7;1
vpja63;12;18C;13326,6;948,5;577,5;1
vpja63;13;21B;12976,3;954,711724137931;579,28724137931;1
vpja63;14;1C;13409,9;956,1;573,3;1
vpja63;15;2D;13176,5;946,5;589,2;1
vpja63;16;4A;13726,8;948,8;580,8;1
vpja63;17;17C;13410;948,5;573,3;1
vpja63;18;16C;13176,4;955,2;584,6;1
vpja63;19;9B;12542,7;951,2;588;1
vpja63;20;11B;13943,6;953,9;596,7;1
vpja63;21;26B;12959,7;958,1;598,1;1
vpja63;22;13B;12792,8;953,5;604,2;1
vpja63;23;24D;12942,9;947,3;595,8;1
vpja63;24;14B;13393,3;952,6;569,4;1
vpja63;25;20C;13043;947,8;591,4;1
vpja63;26;7C;0;953,3;600,1;1
