vp;trial;pic;iti;blx;bly;blok
vpja51;1;18B;12642,7;959,1;606;1
vpja51;2;25A;13443,3;949;611,3;1
vpja51;3;3A;12175,7;953,2;598,2;1
vpja51;4;11B;12709,4;951,3;616,7;1
vpja51;5;16C;13993,7;952,5;612,2;1
vpja51;6;2C;14043,7;958,5;610,1;1
vpja51;7;23D;12676,1;955,1;622,9;1
vpja51;8;13B;13259,8;946,229749103943;626,194623655914;1
vpja51;9;9C;14010,4;971,6;619,5;1
vpja51;10;14B;12592,6;947,5;605,2;1
vpja51;11;17A;12375,9;956,53464256081;613,000887060807;0
vpja51;12;12C;13376,6;972,679245283019;609,712830188679;1
vpja51;13;10D;13576,7;946,8;629,8;1
vpja51;14;19A;13309,9;959,4;611;1
vpja51;15;5B;12792,8;956,53464256081;613,000887060807;0
vpja51;16;24A;13226,4;958,6;613,9;1
vpja51;17;26B;12642,7;961,838461538462;622,292307692308;1
vpja51;18;15D;12225,8;957,9;603,5;1
vpja51;19;21C;13676,8;955,977358490566;612,341886792453;1
vpja51;20;1A;13209,8;948,7;606,7;1
vpja51;21;20C;13109,7;963,195075757576;623,433712121212;1
vpja51;22;6D;13610,1;954,1;616,3;1
vpja51;23;22B;12442,6;955,10625;611,8375;1
vpja51;24;4B;13326,5;958,976923076923;612,928205128205;1
vpja51;25;8A;13710,2;960,1;608,2;1
vpja51;26;7B;0;959,428358208955;601,780223880597;1
