vp;trial;pic;iti;blx;bly;blok
vpja54;1;22C;12393;974,2;562,1;1
vpja54;2;3C;13994,2;980,7;562,4;1
vpja54;3;2C;13660,7;971,632;580,82;0
vpja54;4;23B;13160,2;970,4;566,8;1
vpja54;5;10C;13310,4;974,7;572;1
vpja54;6;17D;12676,6;974,6;578;1
vpja54;7;15A;13794;980,8;580,8;1
vpja54;8;25C;12359,7;970,3;587,7;1
vpja54;9;1B;13610,6;969,4;585,5;1
vpja54;10;24D;13593,9;969,3;586,1;1
vpja54;11;19D;13327,1;966,7;584,9;1
vpja54;12;21C;13527,2;967,3;578;1
vpja54;13;16B;13994,2;975,2;583,9;1
vpja54;14;8A;13610,6;964,7;584,2;1
vpja54;15;18A;13794,1;970,4;575,4;1
vpja54;16;6B;13860,8;964;579,8;1
vpja54;17;20A;13477,2;969,1;591,1;1
vpja54;18;14C;13460,5;977,5;571,8;1
vpja54;19;4C;12359,6;975,1;566,9;1
vpja54;20;13A;12409,7;970,5;582,3;1
vpja54;21;5B;13026,8;969,9;579;1
vpja54;22;11A;12443;966,5;599,2;1
vpja54;23;9C;12843,4;974,2;588;1
vpja54;24;26B;13694;971,8;595,5;1
vpja54;25;12B;12643,2;969,9;590,5;1
vpja54;26;7C;0;973,6;588,6;1
