vp;trial;pic;iti;blx;bly;blok
vpja07;1;16B;13726,8;964,4;589,1;1
vpja07;2;26D;12542,6;964,8;588,4;1
vpja07;3;5D;12559,3;963,4;593,5;1
vpja07;4;9B;12642,7;977,765;597,78;1
vpja07;5;22B;13676,7;970,4;578,6;1
vpja07;6;4C;12392,5;951,7;583,8;1
vpja07;7;3C;12142,3;971,9;592;1
vpja07;8;6C;13309,9;958,3;589,4;1
vpja07;9;25A;13876,9;973,3;580;1
vpja07;10;18A;14060,4;964;593,9;1
vpja07;11;12C;12125,6;964,1;588,8;1
vpja07;12;1B;12892,9;982,3;596,6;1
vpja07;13;14B;12492,5;973,3;597,2;1
vpja07;14;11B;12125,7;982,903597122302;591,918345323741;1
vpja07;15;2A;13059,6;974,65306122449;606,897959183673;1
vpja07;16;7B;12592,7;976,1;588;1
vpja07;17;10D;12676;983,6;586,8;1
vpja07;18;15D;12909,5;984,620547945206;598,032876712329;1
vpja07;19;21A;13810,3;975,9;594,8;1
vpja07;20;23D;12242,3;980;594,6;1
vpja07;21;24A;13726,8;969;600,754794520548;1
vpja07;22;17B;13209,8;965,5;606,899641577061;1
vpja07;23;20D;12259,1;961,5;607,1;1
vpja07;24;8A;13276,5;978,5;600,3;1
vpja07;25;13C;13476,6;983,3;600,7;1
vpja07;26;19A;0;964,4;603,3;1
