vp;trial;pic;iti;blx;bly;blok
vpja42;1;21C;13993,8;973,1;596,7;1
vpja42;2;10B;12392,5;986,1;587,8;1
vpja42;3;19B;13193,1;976,1;599,9;1
vpja42;4;23D;12976,3;964,7;609,6;1
vpja42;5;8B;13176,4;958,4;611,8;1
vpja42;6;13A;12409,2;969,9;592,2;1
vpja42;7;5C;13343,3;965,3;616,4;1
vpja42;8;12A;13776,9;963,5;609,8;1
vpja42;9;2B;13810,2;960,8;615,9;1
vpja42;10;1A;12993;970,8;603,8;1
vpja42;11;14A;13927;973;599,7;1
vpja42;12;15D;13560;966,8;607,7;1
vpja42;13;9D;12876,3;953,5;609,7;1
vpja42;14;16B;12926,2;945,6;602,7;1
vpja42;15;6D;14027,1;960,489203896175;607,623232845405;0
vpja42;16;26C;13276,5;941,3;614;1
vpja42;17;25D;12993;960,489203896175;607,623232845405;0
vpja42;18;17D;13009,7;960,489203896175;607,623232845405;0
vpja42;19;4C;13376,5;950;621,5;1
vpja42;20;24A;13493,4;958,017647058824;604,108823529412;1
vpja42;21;11D;12559,3;951,1;609,5;1
vpja42;22;22A;13009,7;944,4;619,5;1
vpja42;23;18D;12342,5;951;621;1
vpja42;24;7A;13776,8;945,2;605,9;1
vpja42;25;20B;12859,6;952,834042553192;614,025531914894;1
vpja42;26;3D;0;969,8;602,1;1
