vp;trial;pic;iti;blx;bly;blok
vpja95;1;7D;12409,3;983,9;617,4;1
vpja95;2;2D;12342,5;976;606;1
vpja95;3;4A;12659,4;976,6;602,3;1
vpja95;4;8A;12609,3;975,7;613,6;1
vpja95;5;13A;12209,1;976,4;611,8;1
vpja95;6;24B;12742,8;971,3;607,1;1
vpja95;7;12B;13343,3;972,8;614,9;1
vpja95;8;22C;13143,1;959,1;606,8;1
vpja95;9;19B;12959,6;979,3;606,3;1
vpja95;10;9B;12209,1;968,7;614,9;1
vpja95;11;21D;12609,3;968,103521126761;616,07323943662;1
vpja95;12;16D;12142,4;985,2;616,3;1
vpja95;13;5C;13143,1;967,1;614;1
vpja95;14;20A;13126,4;969,671972318339;619,287197231834;1
vpja95;15;14A;12926,3;976,8;614,8;1
vpja95;16;18A;12225,7;967,1;610,6;1
vpja95;17;3A;13460;971,2;624;1
vpja95;18;17B;12776,2;980;620,9;1
vpja95;19;11D;13159,8;959;628,9;1
vpja95;20;15D;13026,3;978,7;616,2;1
vpja95;21;6B;13476,7;978,1;611,2;1
vpja95;22;26A;13660,2;972,5;619,4;1
vpja95;23;10A;12409,2;967,851546391753;615,637113402062;1
vpja95;24;25C;13526,7;968,5;619,2;1
vpja95;25;23C;12892,9;967,1;616,1;1
vpja95;26;1B;0;967,9;623,7;1
