vp;trial;pic;iti;blx;bly;blok
vpja18;1;14A;12577;949,1;596,7;1
vpja18;2;4A;12509,3;974,4;558,8;1
vpja18;3;12D;12776,1;959,1;574,1;1
vpja18;4;23A;13526,7;970,7;598,9;1
vpja18;5;22C;13043;976,6;577,7;1
vpja18;6;13C;13026,3;974,092605633803;580,894014084507;1
vpja18;7;11B;13059,6;981,344329896907;599,80618556701;1
vpja18;8;19D;12792,8;969,350126452954;597,259282258026;0
vpja18;9;16D;13710,1;958,6;595,7;1
vpja18;10;21C;12859,5;977,4;606,9;1
vpja18;11;18B;13977;971,608270676692;603,370676691729;1
vpja18;12;1D;13126,4;965,6;615,6;1
vpja18;13;2B;13159,8;967,4;595,1;1
vpja18;14;5A;13226,4;965,5;609,1;1
vpja18;15;15B;12159;968,5;597,5;1
vpja18;16;7C;12959,6;969,350126452954;597,259282258026;0
vpja18;17;6D;13293,1;964,5;600,8;1
vpja18;18;26C;12409,2;957,2;622,8;1
vpja18;19;3D;14077,1;969,350126452954;597,259282258026;0
vpja18;20;17D;13760,2;971,3;568,1;1
vpja18;21;20C;14043,7;966,6;618,5;1
vpja18;22;24A;12609,3;963,657575757576;603,633333333333;1
vpja18;23;8D;12809,5;975,5;618,1;1
vpja18;24;9D;12259;969,350126452954;597,259282258026;0
vpja18;25;25B;12609,4;989,6;603;1
vpja18;26;10A;0;977,4;594,6;1
