vp;trial;pic;iti;blx;bly;blok
vpja06;1;16C;12809,5;965,484892086331;574,268345323741;1
vpja06;2;7C;13860,2;965,1;572,1;1
vpja06;3;10A;12442,5;957,8;594,2;1
vpja06;4;12D;13760,2;966,6;584,6;1
vpja06;5;21B;13510;971,4;590,6;1
vpja06;6;6B;14077,1;970,8;575;1
vpja06;7;25A;13943,6;962,3;595;1
vpja06;8;20B;13960,3;958,279770992366;586,934351145038;1
vpja06;9;2A;13409,9;963;592;1
vpja06;10;23C;13376,6;971,7;572,4;1
vpja06;11;24C;12559,2;964,9;582,7;1
vpja06;12;15D;13326,6;966,9;583;1
vpja06;13;11C;12159;963,5;586,1;1
vpja06;14;22C;14110,4;964;576,4;1
vpja06;15;5B;13143;962,2;587,6;1
vpja06;16;9A;12475,9;956,8;600,7;1
vpja06;17;14D;14077,1;961,7;592;1
vpja06;18;4A;12159;963,615352480595;586,336958922581;0
vpja06;19;3D;13176,4;957,3;584,3;1
vpja06;20;13C;13326,5;959,3;584,4;1
vpja06;21;18B;13526,7;973,8;581,8;1
vpja06;22;17A;12242,4;957,9;596,7;1
vpja06;23;19B;13293,1;959,8;589,7;1
vpja06;24;26D;13326,5;959,81914893617;592,321276595745;1
vpja06;25;8C;13026,3;965,7;598,6;1
vpja06;26;1A;0;964,3;585;1
