vp;trial;pic;iti;blx;bly;blok
vpja84;1;5D;13143;977,1;742;1
vpja84;2;7B;12859,5;981,115172413793;666,054827586207;1
vpja84;3;22D;13493,3;988,558928571429;637,523928571429;1
vpja84;4;9B;14027;990,625;662,175;1
vpja84;5;25A;12626;990,748314606741;632,58202247191;1
vpja84;6;2C;13343,2;988;632,3;1
vpja84;7;15B;12776,1;971,4;633,8;1
vpja84;8;18A;14093,8;968,8;662,9;1
vpja84;9;26C;12776,1;964,4;639,1;1
vpja84;10;11B;13893,6;965,86812749004;682,558964143426;1
vpja84;11;20B;13510;989,958361774744;681,161092150171;1
vpja84;12;17C;12375,8;978,077797238822;666,392969942411;0
vpja84;13;24B;13309,8;1002,09065743945;672,908996539792;1
vpja84;14;4D;12375,8;993,2;672,7;1
vpja84;15;1A;14043,7;970,436111111111;702,348611111111;1
vpja84;16;19D;12876,2;974,434042553192;697,051063829787;1
vpja84;17;10A;13409,9;966,3;636;1
vpja84;18;3B;12159;967,720274914089;739,200343642612;1
vpja84;19;6C;12592,6;978,077797238822;666,392969942411;0
vpja84;20;13A;13176,4;982,6;680,7;1
vpja84;21;16B;12909,6;969,7;692,4;1
vpja84;22;21A;13826,9;974,1;631,2;1
vpja84;23;8B;13660,1;975,9;648,6;1
vpja84;24;14C;14110,4;977;631,9;1
vpja84;25;12D;12909,5;976,8;627,6;1
vpja84;26;23A;0;967,012142857143;688,666428571429;1
