vp;trial;pic;iti;blx;bly;blok
vpja62;1;7A;13743,6;977,7;560,5;1
vpja62;2;10B;13910,3;980,133802816901;557,449295774648;1
vpja62;3;18C;13359,9;970,432081911263;535,776791808874;1
vpja62;4;8C;13810,2;978;574,1;1
vpja62;5;12A;13109,7;958,4;558,7;1
vpja62;6;5C;14060,5;964,2;545,9;1
vpja62;7;17C;13293,2;971;548,3;1
vpja62;8;22C;14010,3;964,5;538,3;1
vpja62;9;23B;12142,4;961,8;548,3;1
vpja62;10;13D;12993;960,4;555,8;1
vpja62;11;9D;12542,6;987,4;571,6;1
vpja62;12;19A;14127,1;958,3;547,2;1
vpja62;13;11D;12192,4;962,6;572,9;1
vpja62;14;21C;12576;965,452745197007;554,32192031598;0
vpja62;15;1D;13476,7;969;534,3;1
vpja62;16;26C;12609,3;964;530,8;1
vpja62;17;3A;13810,3;954,3;546,2;1
vpja62;18;2A;12225,7;965,3;535;1
vpja62;19;20A;12425,9;958,7;546,9;1
vpja62;20;16A;13243,1;959,3;556;1
vpja62;21;6C;12375,9;960,6;572,1;1
vpja62;22;25D;12559,3;949;565,7;1
vpja62;23;4B;13893,7;980,6;568,6;1
vpja62;24;24C;13059,6;965,452745197007;554,32192031598;0
vpja62;25;15A;13109,8;963,6;573,5;1
vpja62;26;14C;0;951,6;559,8;1
