vp;trial;pic;iti;blx;bly;blok
vpja09;1;8D;13660;960,3;591,8;1
vpja09;2;24B;14143,7;964,8;591,6;1
vpja09;3;20C;14077;952,7;600,2;1
vpja09;4;21A;13443,2;955;594,2;1
vpja09;5;4C;12209;960,545;595,878571428571;1
vpja09;6;1C;12809,4;960,6;592,1;1
vpja09;7;12D;13476,6;955,6;601,6;1
vpja09;8;7C;12959,5;955,5;594,8;1
vpja09;9;5A;13159,6;956,535395189003;599,426116838488;1
vpja09;10;22A;12709,4;953,9;599;1
vpja09;11;23C;14160,4;957,1;595,9;1
vpja09;12;25B;13359,8;958,790909090909;604,031468531468;1
vpja09;13;26D;13309,7;957,3;599,3;1
vpja09;14;19B;13026,3;956,6;599;1
vpja09;15;16D;13876,8;952,7;598,9;1
vpja09;16;17B;12809,4;951,4;589,7;1
vpja09;17;10D;13376,5;963,7;587,9;1
vpja09;18;13C;13643,4;964,7;593,5;1
vpja09;19;14D;12575,9;954,5;598,9;1
vpja09;20;18C;12742,7;964,6;587,7;1
vpja09;21;15C;12792,7;956,028767123288;589,598630136986;1
vpja09;22;9C;13676,7;947,6;604,5;1
vpja09;23;6C;13159,7;958,3;594,5;1
vpja09;24;11B;12275,6;955,2;598,7;1
vpja09;25;3A;12659,3;965,444027303754;591,557337883959;1
vpja09;26;2A;0;962,5;594,1;1
