vp;trial;pic;iti;blx;bly;blok
vpja39;1;2A;12842,8;965,6;579,4;1
vpja39;2;15D;14110,4;965,099652777778;576,842708333333;1
vpja39;3;7D;13559,9;989,258762886598;579,667010309278;1
vpja39;4;18D;12542,6;970,3;589,5;1
vpja39;5;12D;13326,5;978,528421052632;570,518245614035;1
vpja39;6;4C;13610;974,9;566,3;1
vpja39;7;9A;13443,2;967,7;584,5;1
vpja39;8;10D;14043,7;958,8;577,5;1
vpja39;9;14C;12926,2;988,7;577,8;1
vpja39;10;21D;13359,8;974,394611272238;576,358474488412;0
vpja39;11;17C;13660,1;979,8;568,3;1
vpja39;12;8C;12175,6;977,5;576,6;1
vpja39;13;16C;13359,8;974,394611272238;576,358474488412;0
vpja39;14;19C;13693,5;974,394611272238;576,358474488412;0
vpja39;15;25D;12559,2;950,8;583,3;1
vpja39;16;23C;13626,7;974,394611272238;576,358474488412;0
vpja39;17;24B;12942,8;976,9;568,3;1
vpja39;18;6B;13876,9;974,394611272238;576,358474488412;0
vpja39;19;22D;12225,7;973,5;575,1;1
vpja39;20;3D;13159,7;979;572,4;1
vpja39;21;1B;13409,9;982,3;587,6;1
vpja39;22;20D;12225,6;985,3;576,4;1
vpja39;23;5C;13876,9;969,4;583,2;1
vpja39;24;11B;13309,8;974,3;567,8;1
vpja39;25;26C;14043,7;978,9;574,8;1
vpja39;26;13B;0;975,7;567,7;1
