vp;trial;pic;iti;blx;bly;blok
vpja94;1;16A;12762,4;958,7;616,4;1
vpja94;2;5D;12259,1;958,5;600;1
vpja94;3;13A;13927;962;597;1
vpja94;4;24A;12209,1;958,7;612,2;1
vpja94;5;25C;13560,1;963,8;604,9;1
vpja94;6;17D;12492,6;960,1;615;1
vpja94;7;2B;13359,9;954,5;612;1
vpja94;8;22A;12492,7;965,4;608,5;1
vpja94;9;15A;14010,4;961,483153234562;608,118378335831;0
vpja94;10;26A;12559,3;970,680434782609;602,754710144927;1
vpja94;11;23B;12842,9;962,9;613,2;1
vpja94;12;4A;13593,4;960;618,9;1
vpja94;13;3C;13810,3;970,275;607,507575757576;1
vpja94;14;14D;13376,6;961,5;604,5;1
vpja94;15;10A;13109,8;965,5;602,2;1
vpja94;16;19A;12659,4;975,4;603;1
vpja94;17;6D;13943,7;953,9;616,2;1
vpja94;18;8C;12159;956,1;612,1;1
vpja94;19;12D;13109,8;967,797080291971;615,35401459854;1
vpja94;20;20B;12876,2;960,226315789474;608,143157894737;1
vpja94;21;11D;12642,7;962,6;597,2;1
vpja94;22;9D;12175,7;965,5;605;1
vpja94;23;18C;12426;949;606,7;1
vpja94;24;21D;13460;962,5;608,1;1
vpja94;25;7B;12392,5;956,1;605,9;1
vpja94;26;1B;0;955,4;610,2;1
