vp;trial;pic;iti;blx;bly;blok
vpja61;1;17B;12209,1;981,987931034483;560,601793103448;0
vpja61;2;1C;12542,6;986,8;551,9;1
vpja61;3;6B;13076,4;1008,6;557,8;1
vpja61;4;19C;13810,2;1012,7;544,9;1
vpja61;5;15B;12859,6;973,2;562,5;1
vpja61;6;18B;13460;962,298275862069;571,644827586207;1
vpja61;7;2A;13860,3;993,4;548,8;1
vpja61;8;9D;13643,4;975,9;572,6;1
vpja61;9;23A;12526;982,9;568,2;1
vpja61;10;4A;12993;981,2;565,5;1
vpja61;11;14C;12259,1;969,7;575,1;1
vpja61;12;5A;12959,6;984;569;1
vpja61;13;20D;12826,2;988,3;558;1
vpja61;14;10B;13893,6;991,4;541,4;1
vpja61;15;11A;13776,9;984,7;553,7;1
vpja61;16;22D;13643,5;972,5;553;1
vpja61;17;21D;12876,2;984,4;543,6;1
vpja61;18;24D;12826,2;1005;545,4;1
vpja61;19;3A;12292,4;986,3;553,6;1
vpja61;20;13B;13209,9;1007,6;556,1;1
vpja61;21;7A;12626;954,6;575,3;1
vpja61;22;26B;13560,1;941,4;589,1;1
vpja61;23;16B;12909,5;1010;537;1
vpja61;24;12A;12892,9;975;560,1;1
vpja61;25;25D;13126,5;966,2;579,9;1
vpja61;26;8B;0;951,6;580,9;1
