vp;trial;pic;iti;blx;bly;blok
vpja69;1;5A;14077,3;963,62561607283;615,332396797991;0
vpja69;2;11B;12159,2;952,8;611,8;1
vpja69;3;25C;13793,7;953,6;608,4;1
vpja69;4;21C;13343,4;967,4;616,4;1
vpja69;5;6B;14044;966,6;612,3;1
vpja69;6;23B;12976,4;955,6;613,6;1
vpja69;7;15D;12259,2;966;611,3;1
vpja69;8;20A;14027,3;964;617,9;1
vpja69;9;18A;12909,7;968,1;616,5;1
vpja69;10;1A;12642,9;965,8;611,5;1
vpja69;11;14A;12742,9;965,6;615,1;1
vpja69;12;26D;12626,2;958,38916967509;608,745126353791;1
vpja69;13;8C;12592,9;960,8;610;1
vpja69;14;9C;12826,3;963,62561607283;615,332396797991;0
vpja69;15;13D;13293,4;960,2;605,6;1
vpja69;16;19A;13243,3;973,8;610,4;1
vpja69;17;3D;14093,9;971,9;617,9;1
vpja69;18;17B;12959,8;963,62561607283;615,332396797991;0
vpja69;19;16A;13426,8;959;616,5;1
vpja69;20;2C;13510,2;962,6;617,1;1
vpja69;21;10A;12859,7;971,9;623,4;1
vpja69;22;24A;12192,5;954,7;631,4;1
vpja69;23;22C;13159,9;964,8;614,1;1
vpja69;24;7D;12743;965,4;616,8;1
vpja69;25;12C;12526,1;962,8;620;1
vpja69;26;4B;0;971,6;625,9;1
