vp;trial;pic;iti;blx;bly;blok
vpja88;1;23B;13076,4;975,3;606,6;1
vpja88;2;9A;13476,7;982,552017661247;602,971314837489;0
vpja88;3;22C;12826,2;982,4;623;1
vpja88;4;8C;13293,2;987,4;594;1
vpja88;5;16C;12242,5;982,552017661247;602,971314837489;0
vpja88;6;13D;12275,8;963,29963898917;577,648375451263;1
vpja88;7;17B;13927;989,3;605,9;1
vpja88;8;2A;13810,3;981;591,3;1
vpja88;9;10B;12976,3;979,3;602,6;1
vpja88;10;12B;12209,1;974,1;600,5;1
vpja88;11;7A;13610,1;989,324911032028;609,816725978648;1
vpja88;12;19D;13877;990;602,2;1
vpja88;13;25C;13293,2;994,5;591,7;1
vpja88;14;11B;13360;973,565614035088;603,008771929825;1
vpja88;15;20B;13026,3;982,552017661247;602,971314837489;0
vpja88;16;14C;12976,4;992,3;599,7;1
vpja88;17;6B;12959,6;981,842857142857;625,981954887218;1
vpja88;18;24C;13226,5;998,403296703297;607,327838827839;1
vpja88;19;4A;13760,2;982,552017661247;602,971314837489;0
vpja88;20;21C;13526,8;982,552017661247;602,971314837489;0
vpja88;21;15C;13443,3;982,552017661247;602,971314837489;0
vpja88;22;26A;14093,8;976,1;601;1
vpja88;23;18A;12959,7;982,552017661247;602,971314837489;0
vpja88;24;1B;12709,4;986,2;602,8;1
vpja88;25;3C;13576,8;971,6;608,4;1
vpja88;26;5C;0;982,552017661247;602,971314837489;0
