vp;trial;pic;iti;blx;bly;blok
vpja85;1;16C;13593,3;954,9;596,4;1
vpja85;2;17C;13226,5;959,9;592,2;1
vpja85;3;9C;14010,3;956,4;600,1;1
vpja85;4;8C;12275,7;959,4;601,4;1
vpja85;5;24C;13993,7;960,148797250859;609,454295532646;1
vpja85;6;26D;13793,5;956;607,4;1
vpja85;7;11A;12525,9;959,7;606,7;1
vpja85;8;13A;13826,9;951,8;600,8;1
vpja85;9;21C;12275,7;956;607,7;1
vpja85;10;6D;12842,8;953,431316725979;604,251601423488;1
vpja85;11;3C;12159;957;607,6;1
vpja85;12;10C;12425,9;956,504712382503;606,251466553098;0
vpja85;13;19B;12392,4;953,6;612,9;1
vpja85;14;5B;13710,2;954,331958762887;613,450515463918;1
vpja85;15;20B;13309,8;956,504712382503;606,251466553098;0
vpja85;16;12B;13760,2;955,5;596,2;1
vpja85;17;1D;13893,6;956,943298969072;608,911340206186;1
vpja85;18;22B;12559,2;956,504712382503;606,251466553098;0
vpja85;19;4A;13910,3;956,4;611,4;1
vpja85;20;15C;12275,8;955,7;608,1;1
vpja85;21;2D;12559,2;962,376470588235;607,5;1
vpja85;22;25D;12592,7;955,013698630137;614,452054794521;1
vpja85;23;14A;13876,9;956,504712382503;606,251466553098;0
vpja85;24;7D;13193,1;956;601,7;1
vpja85;25;18D;12442,5;957,4;621,2;1
vpja85;26;23A;0;955,158131487889;607,712456747405;1
