vp;trial;pic;iti;blx;bly;blok
vpja03;1;10D;13476,6;966,5;562;1
vpja03;2;13B;13876,9;976,3;558,5;1
vpja03;3;8B;13409,9;981,1;554,6;1
vpja03;4;14D;13393,3;981,461724137931;542,602068965517;1
vpja03;5;19C;12592,6;983,3;556,2;1
vpja03;6;18C;13543,4;964,6;563,5;1
vpja03;7;23A;13993,6;981,2;568,5;1
vpja03;8;17C;13977;988,2;556,1;1
vpja03;9;21D;12626;969,2;570,4;1
vpja03;10;24B;14093,8;962,795890410959;557,19897260274;1
vpja03;11;2D;12859,5;976;557,6;1
vpja03;12;7C;12642,7;978,6;546,6;1
vpja03;13;16A;13743,5;977,5;566,7;1
vpja03;14;4B;13810,2;977,5;551,2;1
vpja03;15;11D;13326,5;973;565,5;1
vpja03;16;6B;12459,2;981,1;556,1;1
vpja03;17;5A;12509,2;968,1;576;1
vpja03;18;20C;14027,1;974,5;566,5;1
vpja03;19;1A;12992,9;972,002105263158;553,954736842105;1
vpja03;20;3D;12192,4;987,2;552,2;1
vpja03;21;26A;12125,6;965,9;569,1;1
vpja03;22;9D;13676,8;974,662842400729;561,351303301363;0
vpja03;23;12B;12692,7;981,5;560;1
vpja03;24;22D;13093;963,8;574,1;1
vpja03;25;25B;12459,2;969,7;574,2;1
vpja03;26;15A;0;965,511340206186;574,426804123711;1
