vp;trial;pic;iti;blx;bly;blok
vpja60;1;25D;13593,9;978,7;595,4;1
vpja60;2;14C;13393,8;980,9;601;1
vpja60;3;19D;12342,9;982,7;604,6;1
vpja60;4;15A;13460,5;962,7;613,2;1
vpja60;5;6D;12976,8;958,8;605,1;1
vpja60;6;11D;12376,3;965,291011235955;601,293258426966;1
vpja60;7;9A;12176,1;968,1;613,7;1
vpja60;8;8B;12393;952,732081911263;609,169283276451;1
vpja60;9;10A;13110,2;945,6;609,3;1
vpja60;10;7D;12142,8;950;623,2;1
vpja60;11;21C;13460,5;966,206206896552;617,780689655172;1
vpja60;12;2A;12226,2;964,9;615,9;1
vpja60;13;4D;12760;950,39;615,67;1
vpja60;14;3B;12659,8;939,4;620,7;1
vpja60;15;24D;13277;965,1;599,1;1
vpja60;16;1A;13493,9;962;617;1
vpja60;17;16A;12126,1;959,043631038782;611,771359101573;0
vpja60;18;5D;13610,6;956,5;612,3;1
vpja60;19;22A;13727,4;949,200711743772;618,03024911032;1
vpja60;20;20A;13777,4;972,7;615,4;1
vpja60;21;18D;13360,4;960,9;613,6;1
vpja60;22;23B;12659,8;954,816494845361;604,967010309278;1
vpja60;23;12A;13460,5;952,910638297872;613,202127659574;1
vpja60;24;26A;12643,2;942;622,8;1
vpja60;25;13A;12376,3;934,5;620,1;1
vpja60;26;17B;0;959,043631038782;611,771359101573;0
