vp;trial;pic;iti;blx;bly;blok
vpja91;1;14C;12859,5;992,097378277154;600,129962546817;1
vpja91;2;23B;12759,5;996,893639575972;603,006360424028;1
vpja91;3;26D;13660,2;975,8;609,1;1
vpja91;4;11A;14010,4;981,4;610,1;1
vpja91;5;9B;12259,1;961,9;606,3;1
vpja91;6;1B;12275,8;974,9;596,3;1
vpja91;7;12A;12609,4;961,200709219858;609,736879432624;1
vpja91;8;8D;13660,1;967,2;598,9;1
vpja91;9;17A;12542,7;972,2;603,9;1
vpja91;10;6D;12642,7;962,3;603,9;1
vpja91;11;16D;12526;964,205415162455;609,928519855596;1
vpja91;12;22B;13460;966,698181818182;604,914545454545;1
vpja91;13;25C;13526,8;974,1;610;1
vpja91;14;20C;12976,3;962,5;608,5;1
vpja91;15;19B;13276,5;972,661634567224;605,219633894683;0
vpja91;16;7A;12142,4;968;591,8;1
vpja91;17;24C;13760,3;972,933096085409;595,823131672598;1
vpja91;18;2C;12309,1;972,661634567224;605,219633894683;0
vpja91;19;18B;13043,1;985,4;615,6;1
vpja91;20;15C;13109,7;961,6;600;1
vpja91;21;13C;12492,7;976,387725631769;608,938267148014;1
vpja91;22;3C;14077,1;972,661634567224;605,219633894683;0
vpja91;23;21A;13610,1;973,601449275362;610,473913043478;1
vpja91;24;10D;13393,3;966,9;602,2;1
vpja91;25;4C;13593,5;969;606,6;1
vpja91;26;5A;0;984;613,9;1
