trial;pic;iti
1;8B;13643,4
2;3D;12926,1
3;23B;14026,9
4;16A;13626,7
5;22D;12642,6
6;17D;13676,7
7;1B;12142,3
8;2B;12759,3
9;10A;14010,3
10;9D;13526,6
11;6D;13876,8
12;20C;13960,3
13;21B;12959,5
14;4D;14093,6
15;11D;12859,5
16;12D;13176,3
17;5D;12609,2
18;26D;12959,5
19;19A;13409,9
20;7B;12809,4
21;14D;13543,2
22;25B;13910,2
23;24A;13510
24;18D;12375,7
25;15C;13660
26;13A;0
