trial;pic;iti
1;16A;12762,4
2;5D;12259,1
3;13A;13927
4;24A;12209,1
5;25C;13560,1
6;17D;12492,6
7;2B;13359,9
8;22A;12492,7
9;15A;14010,4
10;26A;12559,3
11;23B;12842,9
12;4A;13593,4
13;3C;13810,3
14;14D;13376,6
15;10A;13109,8
16;19A;12659,4
17;6D;13943,7
18;8C;12159
19;12D;13109,8
20;20B;12876,2
21;11D;12642,7
22;9D;12175,7
23;18C;12426
24;21D;13460
25;7B;12392,5
26;1B;0
