trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;23B;12209;952,4;593,5;1;7618;0,0950380677343135;0,0538199002362825;0;0,052901023890785;0,1;0,05;0;0,075;356;3745;NA;1316;0;0;0;0;0;0
2;15C;13993,6;942,404511698929;585,882541458089;0;6679;0,0059889204970804;0,0627339422069172;0,300044916903728;0,173528971402905;0,0333333333333333;0,133333333333333;0,166666666666667;0,133333333333333;8324;262;680;988;0,6;0;0,75;0;0;0
3;22A;12992,9;914,394423791822;575,310780669145;1;8964;0;0,0768630075858991;0,100178491744757;0;0;0,148148148148148;0,148148148148148;0;NA;84;1402;NA;0;NA;0;0;NA;0
4;8A;12626;942,404511698929;585,882541458089;0;8399;0,237647338968925;0;0,229908322419336;0,459935706631742;0,222222222222222;0;0,259259259259259;0,444444444444444;184;NA;737;1587;0,285714285714286;0,333333333333333;0;0,142857142857143;0,166666666666667;0
5;25A;13276,4;942,404511698929;585,882541458089;0;8408;0,278187440532826;0,264034253092293;0,141531874405328;0,0567316841103711;0,307692307692308;0,269230769230769;0,153846153846154;0,0769230769230769;230;3348;592;1581;0,0625;0,111111111111111;0;0,0625;0,111111111111111;0
6;13B;12642,7;958,7;579,6;1;7840;0,12984693877551;0,0150510204081633;0,0761479591836735;0,494770408163265;0,129032258064516;0,032258064516129;0,0967741935483871;0,354838709677419;186;6224;600;836;0;0;0;0;0;0
7;17B;14060,3;948,4;597;1;8507;0,0536029152462678;0,102151169625015;0,0647701892559069;0,401669213588809;0,103448275862069;0,103448275862069;0,0344827586206897;0,275862068965517;209;5614;491;1110;0,166666666666667;0,333333333333333;0;0;0;0
8;19D;13626,7;942,404511698929;585,882541458089;0;5841;0,00719054956343092;0;0,11778804999144;0,106488614963191;0,0357142857142857;0;0,107142857142857;0,142857142857143;7254;NA;952;489;0;0;NA;0;0;NA
9;9C;14077;933;588,4;1;8224;0,146522373540856;0,104328793774319;0,117582684824903;0,307392996108949;0,181818181818182;0,151515151515152;0,0909090909090909;0,242424242424242;242;3250;1030;457;0,0909090909090909;0;0,166666666666667;0,0909090909090909;0,2;0
10;21D;12809,5;937,1;604,4;1;8397;0,107657496725021;0,097534833869239;0,0323925211385018;0,230439442658092;0,178571428571429;0,107142857142857;0,0357142857142857;0,178571428571429;229;5314;512;877;0,125;0,25;0;0;0;0
11;4C;13526,6;952,6;585,7;1;5258;0,0228223659186002;0;0,172118676302777;0,0694180296690757;0,0454545454545455;0;0,136363636363636;0,0909090909090909;224;NA;5185;3551;0;0;0;0;0;0
12;1B;13143;934,792334494773;576,246341463415;1;7884;0,134956874682902;0,0450279046169457;0,210045662100457;0,100583460172501;0,147058823529412;0,0882352941176471;0,117647058823529;0,0588235294117647;385;256;7668;1654;0;0;0;0,222222222222222;0,2;0,25
13;20C;12375,8;949,9;595,4;1;7956;0,0279034690799397;0,0383358471593766;0,178230266465561;0,0423579688285571;0,0277777777777778;0,0555555555555556;0,166666666666667;0,0833333333333333;227;57;710;1253;0,25;0;0,333333333333333;0;0;0
