trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;21C;13993,8;973,1;596,7;1;8311;0,135242449765371;0,0332090001203225;0;0,0257490073396703;0,133333333333333;0,0666666666666667;0;0,0333333333333333;263;2422;NA;2108;0;0;0;0;0;0
2;10B;12392,5;986,1;587,8;1;8287;0,17050802461687;0,0703511524073851;0,163147097864125;0;0,138888888888889;0,111111111111111;0,111111111111111;0;352;26;770;NA;0;0;0;0;0;0
3;19B;13193,1;976,1;599,9;1;7901;0,489052018731806;0,0408809011517529;0,0825211998481205;0,176306796608024;0,296296296296296;0,0740740740740741;0,148148148148148;0,148148148148148;258;1442;837;2480;0,2;0,25;0;0,1;0,125;0
4;23D;12976,3;964,7;609,6;1;8443;0,10979509652967;0,107070946346086;0,197086343716688;0;0,148148148148148;0,185185185185185;0,259259259259259;0;466;297;1114;NA;0;0;0;0;0;0
5;8B;13176,4;958,4;611,8;1;8213;0,377206867161817;0,0418848167539267;0,131498843297212;0,338853037866797;0,357142857142857;0,0714285714285714;0,107142857142857;0,25;273;8232;646;1251;0,0833333333333333;0,1;0;0;0;0
6;13A;12409,2;969,9;592,2;1;8185;0,0372632864996946;0,098961514966402;0,43836285888821;0,177397678680513;0,0645161290322581;0,129032258064516;0,387096774193548;0,225806451612903;195;404;597;1702;0,4;0;0,666666666666667;0,2;0,5;0
7;5C;13343,3;965,3;616,4;1;8297;0,332288779076775;0,0777389417861878;0,0652042907074846;0,17247197782331;0,2;0,133333333333333;0,0666666666666667;0,166666666666667;349;199;577;7481;0,0909090909090909;0,166666666666667;0;0,0909090909090909;0;0,2
8;12A;13776,9;963,5;609,8;1;8768;0,406820255474453;0,0546304744525547;0,193316605839416;0,245095802919708;0,333333333333333;0,125;0,166666666666667;0,166666666666667;703;5718;3544;1112;0;0;0;0,0833333333333333;0,125;0
9;2B;13810,2;960,8;615,9;1;8011;0,320434402696293;0;0;0,042691299463238;0,222222222222222;0;0;0,0740740740740741;1215;NA;NA;797;0;0;NA;0;0;NA
10;1A;12993;970,8;603,8;1;8340;0,029136690647482;0,0151079136690647;0,50431654676259;0,0836930455635492;0,0555555555555556;0,111111111111111;0,166666666666667;0,166666666666667;2807;247;1197;1981;0;0;0;0,25;0;0,333333333333333
11;14A;13927;973;599,7;1;8282;0,131610722047815;0,0146099975851244;0,375271673508814;0,0143685100217339;0,153846153846154;0,0384615384615385;0,230769230769231;0,0384615384615385;892;293;444;8324;0,166666666666667;0;0,5;0;0;0
12;15D;13560;966,8;607,7;1;8432;0,06676944971537;0,251660341555977;0,0541982922201139;0,224146110056926;0,136363636363636;0,272727272727273;0,0454545454545455;0,0909090909090909;8801;246;6161;2950;0,111111111111111;0;0,166666666666667;0;0;0
13;9D;12876,3;953,5;609,7;1;8152;0,228042198233562;0,0657507360157017;0,154563297350343;0,244847890088322;0,333333333333333;0,111111111111111;0,259259259259259;0,037037037037037;373;222;1058;2165;0,153846153846154;0,222222222222222;0;0;0;0
14;16B;12926,2;945,6;602,7;1;8396;0,0961171986660314;0,365292996665079;0,246069556931872;0;0,153846153846154;0,192307692307692;0,307692307692308;0;1897;210;533;NA;0;0;0;0;0;0
15;6D;14027,1;960,489203896175;607,623232845405;0;8194;0,0428362216255797;0,152428606297291;0,0428362216255797;0,454967049060288;0,0645161290322581;0,225806451612903;0,0645161290322581;0,387096774193548;4994;399;1135;1648;0,111111111111111;0;0,142857142857143;0,111111111111111;0;0,142857142857143
16;26C;13276,5;941,3;614;1;9278;0,0420349213192498;0;0;0;0,153846153846154;0;0;0;283;NA;NA;NA;0;0;0;0;0;0
17;25D;12993;960,489203896175;607,623232845405;0;8178;0,241868427488383;0,100269014428956;0,41562729273661;0,0594277329420396;0,192307692307692;0,153846153846154;0,384615384615385;0,0769230769230769;1306;1140;702;3659;0,5;0,4;0,6;0;0;0
18;17D;13009,7;960,489203896175;607,623232845405;0;8368;0,142566921606119;0;0,282982791586998;0,251792543021032;0,192307692307692;0;0,115384615384615;0,269230769230769;1287;NA;343;690;0;0;NA;0;0;NA
19;4C;13376,5;950;621,5;1;7276;0,171247938427708;0,0808136338647609;0;0,130841121495327;0,09375;0,09375;0;0,125;387;193;NA;4305;0;0;0;0;0;0
20;24A;13493,4;958,017647058824;604,108823529412;1;8890;0,0710911136107986;0,0543307086614173;0,191676040494938;0,193025871766029;0,0645161290322581;0,0645161290322581;0,129032258064516;0,161290322580645;556;53;1002;6085;0;0;0;0;0;0
21;11D;12559,3;951,1;609,5;1;8234;0,296332280786981;0,267913529268885;0;0,0666747631770707;0,151515151515152;0,303030303030303;0;0,0909090909090909;530;367;NA;2196;0;0;0;0,0666666666666667;0;0,1
22;22A;13009,7;944,4;619,5;1;8440;0,334241706161137;0,16042654028436;0,178554502369668;0,0162322274881517;0,272727272727273;0,121212121212121;0,181818181818182;0,0303030303030303;199;840;391;4931;0,166666666666667;0,222222222222222;0;0,0833333333333333;0,111111111111111;0
23;18D;12342,5;951;621;1;9038;0,129564062845762;0,0139411374197831;0,271741535737995;0,502434166851073;0,2;0,0666666666666667;0,2;0,4;3532;4893;548;340;0;0;0;0,5;0,666666666666667;0
24;7A;13776,8;945,2;605,9;1;7524;0,150318979266348;0,172913343965976;0,0178096757044125;0,313928761297182;0,21875;0,15625;0,03125;0,15625;481;1029;5168;329;0;0;0;0,0833333333333333;0;0,2
25;20B;12859,6;952,834042553192;614,025531914894;1;7434;0,235404896421846;0,0556900726392252;0,103309120258273;0,296610169491525;0,172413793103448;0,103448275862069;0,103448275862069;0,275862068965517;1522;231;1982;2307;0,125;0,2;0;0,125;0,2;0
26;3D;0;969,8;602,1;1;8902;0,219276567063581;0,075376319928106;0,565266232307347;0,0180858234104696;0,210526315789474;0,210526315789474;0,315789473684211;0,0526315789473684;2443;3567;464;5816;0,222222222222222;0;0,4;0;0;0
