trial;pic;iti
1;3A;12209,2
2;7D;13526,9
3;2C;12292,6
4;10A;12242,5
5;5D;12692,9
6;1C;12876,4
7;17C;13510,2
8;18B;12359,3
9;11D;13059,8
10;9B;12175,8
11;15C;13943,9
12;4D;12225,8
13;21B;12125,9
14;13D;14060,5
15;8A;13243,4
16;6A;12459,3
17;14A;13677
18;19A;12809,7
19;24C;13176,5
20;12C;12876,4
21;23A;12426
22;26A;13093,2
23;22B;13410,1
24;20C;14027,3
25;25B;12726,2
26;16D;0
