trial;pic;iti
1;1A;12976,4
2;11D;12609,5
3;15D;13126,6
4;26B;12792,9
5;22B;12125,8
6;24A;12342,7
7;10A;12526,1
8;8B;13460,1
9;25C;13877,1
10;14A;13827,1
11;2A;14010,6
12;18D;14110,6
13;4C;13326,7
14;19D;12559,5
15;12B;12592,8
16;3C;13159,9
17;20A;12793
18;9D;13093,2
19;5D;13877,1
20;13A;13043,2
21;23C;12843
22;6A;12542,8
23;21D;12642,8
24;17A;12125,9
25;16D;12409,3
26;7D;0
