trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;16A;13443,5;991,026714801444;601,497472924188;1;8076;0,305596830113918;0,0121347201584943;0,0360326894502229;0,101535413571075;0,24390243902439;0,024390243902439;0,024390243902439;0,121951219512195;213;4198;2253;4358;0;0;0;0,0833333333333333;0;0,5
2;15A;13960,5;987,4;609,1;1;7866;0,0883549453343504;0,116196287821002;0;0,0363590134757183;0,121951219512195;0,146341463414634;0;0,024390243902439;297;204;NA;2552;0;0;0;0,0909090909090909;0;0,166666666666667
3;7B;12959,8;987,1;603,6;1;7923;0,344818881736716;0,0908746686861037;0,0388741638268333;0;0,285714285714286;0,0952380952380952;0,0476190476190476;0;289;4240;3849;NA;0;0;0;0;0;0
4;11B;12309,2;993,861132075472;617,524905660377;1;7938;0,27488032249937;0,160871756109851;0;0,04623330813807;0,225;0,2;0;0,05;278;2354;NA;7223;0;0;0;0;0;0
5;19A;14094;993,8;613,9;1;7987;0,187304369600601;0;0;0,0239138600225366;0,179487179487179;0;0;0,0256410256410256;265;NA;NA;4088;0;0;NA;0;0;NA
6;3C;12526,1;993,3;606;1;8232;0,242832847424684;0,0122691933916424;0;0,0286686103012634;0,219512195121951;0,024390243902439;0;0,024390243902439;217;5168;NA;3223;0;0;0;0;0;0
7;8C;13193,3;993,3;626,5;1;8180;0,283740831295844;0,161002444987775;0,150855745721271;0,183129584352078;0,263157894736842;0,157894736842105;0,105263157894737;0,210526315789474;203;2963;5217;2779;0,0625;0,111111111111111;0;0;0;0
8;14A;13209,9;983;619;1;8069;0,405874333870368;0,00309827735778907;0,0903457677531293;0,0752261742471186;0,342105263157895;0,0263157894736842;0,105263157894737;0,0789473684210526;267;188;1165;5740;0;0;0;0,0666666666666667;0,0769230769230769;0
9;9B;14027,3;1000,3;613,8;1;8058;0,249193348225366;0,0255646562422437;0,123355671382477;0,140109208240258;0,205128205128205;0,0512820512820513;0,153846153846154;0,153846153846154;205;5207;2139;1573;0;0;0;0,0909090909090909;0;0,333333333333333
10;20B;12759,6;1002,3;621,1;1;7761;0,201778121376111;0,0823347506764592;0,0806597088004123;0,0542455869089035;0,159090909090909;0,0681818181818182;0,0909090909090909;0,0454545454545455;312;2458;856;3313;0,1;0,142857142857143;0;0,1;0,142857142857143;0
11;13D;13643,6;1007,1;608,7;1;8182;0,14385235883647;0;0,245661207528722;0,243461256416524;0,153846153846154;0;0,205128205128205;0,256410256410256;205;NA;5669;2346;0,142857142857143;0,166666666666667;0;0;0;0
12;12A;12759,6;996;607,3;1;7286;0,359456491902278;0,0214109250617623;0,102388141641504;0,0959374142190502;0,358974358974359;0,0256410256410256;0,102564102564103;0,0769230769230769;201;9811;3051;2050;0;0;0;0,0666666666666667;0,0714285714285714;0
13;18D;13326,7;997,3;601,8;1;8119;0,311245227244735;0,0538243626062323;0,0612144352752802;0,236728661165168;0,297297297297297;0,108108108108108;0,0540540540540541;0,189189189189189;318;251;1936;1399;0;0;0;0,142857142857143;0,2;0
14;25C;13193,3;998,6;617,6;1;8024;0,288384845463609;0,370388833499501;0,090852442671984;0,0229312063808574;0,275;0,35;0,125;0,025;200;1614;1145;710;0,0384615384615385;0;0,0666666666666667;0,0384615384615385;0,0909090909090909;0
15;22B;12576,1;977,3;605,6;1;7664;0,21124739039666;0,107254697286013;0,0606732776617954;0,0671972860125261;0,170731707317073;0,0975609756097561;0,0487804878048781;0,0975609756097561;183;5620;5768;1092;0,0909090909090909;0;0,25;0,0909090909090909;0,142857142857143;0
16;2A;12676,3;999;608,2;1;7604;0,209889531825355;0,13400841662283;0;0,0301157285639137;0,232558139534884;0,116279069767442;0;0,0465116279069767;204;4558;NA;1088;0;0;0;0;0;0
17;5C;12893;988,4;607,6;1;7960;0,243467336683417;0,0868090452261307;0,101130653266332;0,0655778894472362;0,15;0,125;0,075;0,05;273;188;1819;2486;0;0;0;0;0;0
