trial;pic;iti
1;12B;13343,1
2;26D;13443,2
3;20B;13376,5
4;10A;13393,1
5;21C;13359,8
6;7D;14093,7
7;5D;13776,8
8;1B;13309,7
9;13B;13643,4
10;22B;14077
11;3A;13493,2
12;16D;12492,5
13;19C;12158,9
14;8A;13076,3
15;25D;14077
16;6C;12742,7
17;15D;13843,4
18;17B;14027
19;4C;13076,3
20;11D;12625,9
21;14B;13509,9
22;18A;13193
23;9B;13076,3
24;2A;13660
25;23A;12125,5
26;24D;0
