trial;pic;iti
1;15B;12492,6
2;13C;13176,4
3;1A;12109
4;9A;13243,2
5;10A;13493,3
6;16C;12375,9
7;18C;12609,3
8;11A;13993,8
9;8A;13826,9
10;17D;12225,7
11;5A;12726,1
12;21C;12959,6
13;26B;13093,1
14;19D;13543,4
15;22B;14077,1
16;20C;12909,6
17;7B;13076,3
18;25C;12809,5
19;3D;13376,6
20;23D;12542,7
21;14B;12409,2
22;4B;13993,7
23;12B;12459,2
24;24B;13893,7
25;6C;12159
26;2A;0
