trial;pic;iti
1;7D;12409,3
2;2D;12342,5
3;4A;12659,4
4;8A;12609,3
5;13A;12209,1
6;24B;12742,8
7;12B;13343,3
8;22C;13143,1
9;19B;12959,6
10;9B;12209,1
11;21D;12609,3
12;16D;12142,4
13;5C;13143,1
14;20A;13126,4
15;14A;12926,3
16;18A;12225,7
17;3A;13460
18;17B;12776,2
19;11D;13159,8
20;15D;13026,3
21;6B;13476,7
22;26A;13660,2
23;10A;12409,2
24;25C;13526,7
25;23C;12892,9
26;1B;0
