trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;15B;12375,8;949,119215119723;598,695533113166;0;7814;0,103916048118761;0,0616841566419248;0,0680829280778091;0,0780650115177886;0,142857142857143;0,0571428571428571;0,0857142857142857;0,0571428571428571;280;2274;646;2571;0,142857142857143;0,2;0;0,142857142857143;0;0,5
2;18B;13376,6;962,1;593,1;1;7914;0,125600202173364;0,0759413697245388;0,60235026535254;0,0583775587566338;0,0909090909090909;0,0909090909090909;0,545454545454545;0,0909090909090909;412;5015;779;2829;0,5;0,5;0,5;0;0;0
3;23A;14093,9;954,3;597,6;1;7222;0,217945167543617;0,0996953752423151;0,124065355857103;0,161174189975076;0,205882352941176;0,147058823529412;0,0882352941176471;0,176470588235294;812;702;2558;1548;0;0;0;0,0833333333333333;0,166666666666667;0
4;6A;12559,3;953,3;602,2;1;7348;0,135955362003266;0,0694066412629287;0,0983941208492107;0,149972781709309;0,142857142857143;0,0857142857142857;0,0857142857142857;0,114285714285714;284;2923;4734;3336;0;0;0;0,111111111111111;0;0,25
5;21B;13276,6;950,171739130435;599,811956521739;1;8281;0,187658495350803;0,163627581209999;0,0206496799903393;0,0265668397536529;0,161290322580645;0,225806451612903;0,032258064516129;0,032258064516129;283;915;1498;1760;0;0;0;0;0;0
6;7B;13943,7;953,2;600,3;1;6679;0,246444078454859;0;0,0555472376104207;0,153466087737685;0,242424242424242;0;0,0606060606060606;0,121212121212121;264;NA;791;75;0,25;0,25;NA;0;0;NA
7;3C;12592,7;950,6;596,6;1;7409;0,0927250641112161;0;0,506546092590093;0,0427858010527737;0,103448275862069;0;0,379310344827586;0,103448275862069;322;NA;785;1789;0;0;NA;0,333333333333333;0,333333333333333;NA
8;4D;12776,1;947,7;601,6;1;7546;0,281208587331036;0,125894513649616;0,0238536973230851;0,0587065995229261;0,228571428571429;0,142857142857143;0,0285714285714286;0,0571428571428571;252;6278;2942;3441;0;0;0;0;0;0
9;20A;12175,7;953,4;603,5;1;7023;0,0805923394560729;0;0,068204471023779;0,0394418339740851;0,114285714285714;0;0,0857142857142857;0,0285714285714286;290;NA;685;2541;0,25;0,25;NA;0,25;0,25;NA
10;13D;13743,6;953,7;600;1;6296;0,199174078780178;0,163595933926302;0,111022871664549;0,169472681067344;0,193548387096774;0,161290322580645;0,129032258064516;0,161290322580645;260;1154;4243;636;0,0833333333333333;0,166666666666667;0;0,0833333333333333;0,166666666666667;0
11;2C;12576;946,6;593,1;1;7131;0,161828635534988;0;0,101809002944889;0,041508904781938;0,148148148148148;0;0,111111111111111;0,037037037037037;217;NA;971;557;0;0;NA;0,25;0,25;NA
12;19B;13960,4;948,778417266187;597,058273381295;1;6886;0,172378739471391;0,133459192564624;0,0624455416787685;0,115306418820796;0,161290322580645;0,129032258064516;0,0645161290322581;0,129032258064516;253;5563;522;1043;0,125;0,2;0;0;0;0
13;9A;13109,7;955,9;600,6;1;6829;0,184946551471665;0,0894713720896178;0,0453946405037341;0,178357006882413;0,193548387096774;0,129032258064516;0,032258064516129;0,161290322580645;320;577;1017;770;0;0;0;0,1;0;0,25
14;1D;12709,5;949,8;606,5;1;7157;0,129663266731871;0,120301802431186;0,279446695542825;0,104932234176331;0,142857142857143;0,0714285714285714;0,285714285714286;0,107142857142857;324;6960;536;790;0,285714285714286;0,25;0,333333333333333;0;0;0
15;17B;13826,9;942,7;604,9;1;6417;0,177341436808477;0;0,342995169082126;0,141031634720274;0,266666666666667;0;0,3;0,133333333333333;1395;NA;642;260;0,25;0,25;NA;0;0;NA
16;5C;13943,8;943,4;604;1;7795;0,197819114817191;0,0946760744066709;0;0,108531109685696;0,151515151515152;0,121212121212121;0;0,0606060606060606;207;8704;NA;2627;0;0;0;0;0;0
17;14D;13993,7;946,771034482759;599,068275862069;1;7182;0,410609857978279;0,038707880813144;0,0531885268727374;0,0417710944026733;0,323529411764706;0,0294117647058824;0,0588235294117647;0,0588235294117647;273;9085;799;2587;0,0833333333333333;0,0909090909090909;0;0,0833333333333333;0,0909090909090909;0
18;22D;14027,1;948,4;593,9;1;6679;0,395867644857015;0,160053900284474;0,0807007036981584;0,211558616559365;0,272727272727273;0,212121212121212;0,0909090909090909;0,181818181818182;253;105;1648;2931;0;0;0;0,125;0,125;0,125
19;11B;12676,1;936,2;590,2;1;7345;0,186113002042206;0,177671885636487;0;0,0236895847515317;0,129032258064516;0,225806451612903;0;0,032258064516129;318;6089;NA;9543;0;0;0;0;0;0
20;26B;12709,4;944,6;600,5;1;7597;0,256811899433987;0,00829274713702777;0,0953007766223509;0,0223772541792813;0,25;0,03125;0,125;0,03125;1189;4856;808;3255;0;0;0;0;0;0
21;8C;12609,4;940,6;589,8;1;6926;0,419434016748484;0,116373086918856;0,141495812879007;0,187554143805949;0,310344827586207;0,137931034482759;0,137931034482759;0,241379310344828;287;3515;693;1139;0,0714285714285714;0,111111111111111;0;0,0714285714285714;0;0,2
