pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
4A;3685;l;Kiste;1;Ventilator;0
25C;2796;r;Kerze;1;Kaffeemuehle;1
17C;3000;r;Schuh;1;Erdbeeren;1
12C;2847;r;Fernglas;0;Kamera;0
11A;2403;l;Eimer;1;Stuhl;1
14C;2873;r;Ordner;1;Kopfhoerer;0
9D;3322;r;Tasse;0;Wasserflasche;1
2D;2778;r;Locher;1;Zollstock;0
20B;2006;l;Schuessel;0;Kissen;1
8A;3709;l;Uhr;0;Marmelade;0
10A;3008;l;Buerste;0;Brille;0
15B;3011;l;Handtuch;0;Wasserglas;1
23D;3835;r;Saege;0;Hammer;1
13D;3414;r;Buch;1;Laptop;1
19D;2723;r;Trommel;0;Hut;1
18A;3571;l;Ukulele;0;Handbesen;0
6B;3903;l;Obstschale;0;Globus;0
24C;2485;r;Blume;1;Kanne;0
3D;3603;r;Fahrradhelm;0;Stethoskop;0
7D;2442;r;Toaster;0;Thermoskanne;0
21A;2914;l;Stift;0;Handy;0
1C;2656;r;Orange;1;Melone;1
22A;2070;l;Elefant;1;Feder;1
26C;3855;r;Taschenlampe;1;Gluehbirne;1
16C;3687;r;Muetze;1;Geldbeutel;0
5D;3956;r;Foehn;0;Blackroll;1
