pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
5A;3944;l;Foehn;0;Blackroll;0
11B;2037;l;Stuhl;0;Eimer;0
25C;3648;r;Kerze;0;Kaffeemuehle;0
21C;3211;r;Handy;1;Stift;0
6B;3915;l;Obstschale;1;Globus;1
23B;2826;l;Saege;1;Hammer;1
15D;2121;r;Wasserglas;0;Handtuch;0
20A;3881;l;Kissen;0;Schuessel;0
18A;2790;l;Ukulele;0;Handbesen;0
1A;2506;l;Melone;0;Orange;0
14A;2596;l;Kopfhoerer;1;Ordner;0
26D;2488;r;Gluehbirne;0;Taschenlampe;0
8C;2444;r;Marmelade;1;Uhr;0
9C;2708;r;Wasserflasche;0;Tasse;0
13D;3164;r;Buch;1;Laptop;1
19A;3108;l;Trommel;0;Hut;0
3D;3965;r;Fahrradhelm;0;Stethoskop;0
17B;2826;l;Schuh;0;Erdbeeren;0
16A;3293;l;Geldbeutel;0;Muetze;0
2C;3377;r;Zollstock ;0;Locher;0
10A;2726;l;Buerste;0;Brille;0
24A;2056;l;Kanne;0;Blume;1
22C;3015;r;Feder;0;Elefant;0
7D;2605;r;Toaster;1;Thermoskanne;0
12C;2388;r;Fernglas;1;Kamera;1
4B;2475;l;Ventilator;1;Kiste ;0
