pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16A;2775;l;Geldbeutel;0;Muetze;0
14C;2860;r;Ordner;1;Kopfhoerer;1
5A;3797;l;Foehn;1;Blackroll;1
13C;3249;r;Laptop;1;Buch;0
9A;3516;l;Tasse;0;Wasserflasche;0
25A;2351;l;Kaffeemuehle;1;Kerze;0
6D;2780;r;Globus;1;Obstschale;0
3A;3291;l;Fahrradhelm;0;Stethoskop;0
24C;2521;r;Blume;0;Kanne;0
26C;2327;r;Taschenlampe;1;Gluehbirne;1
21B;2295;l;Handy;0;Stift;1
8A;3979;l;Uhr;0;Marmelade;0
19D;3934;r;Trommel;0;Hut;0
12B;3271;l;Fernglas;1;Kamera;1
22B;2306;l;Feder;0;Elefant;0
17C;3059;r;Schuh;0;Erdbeeren;0
7D;3600;r;Toaster;0;Thermoskanne;1
20B;2952;l;Schuessel;1;Kissen;0
23A;3063;l;Hammer;0;Säege;0
11A;3783;l;Eimer;1;Stuhl;1
10A;3625;l;Buerste;0;Brille;0
18C;3893;r;Handbesen;0;Ukulele;0
15A;3253;l;Wasserglas;1;Handtuch;0
2D;2540;r;Locher;1;Zollstock;1
1D;2275;r;Melone;1;Orange;1
4A;3830;l;Kiste;0;Ventilator;1
