pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15B;2259;l;Handtuch;0;Wasserglas;0
18B;3248;l;Handbesen;0;Ukulele;0
23A;3984;l;Hammer;1;Saege;0
6A;2430;l;Globus;0;Obstschale;0
21B;3169;l;Handy;0;Stift;0
7B;3835;l;Thermoskanne;1;Toaster;0
3C;2477;r;Stethoskop;0;Fahrradhelm;0
4D;2637;r;Kiste ;1;Ventilator;0
20A;2074;l;Kissen;0;Schuessel;0
13D;3628;r;Buch;0;Laptop;1
2C;2465;r;Zollstock ;0;Locher;0
19B;3839;l;Hut;0;Trommel;0
9A;2992;l;Tasse;0;Wasserflasche;0
1D;2611;r;Melone;1;Orange;1
17B;3703;l;Schuh;0;Erdbeeren;0
5C;3799;r;Blackroll;0;Foehn;0
14D;3854;r;Kopfhoerer;0;Ordner;1
22D;3904;r;Elefant;0;Feder;0
11B;2533;l;Stuhl;0;Eimer;0
26B;2596;l;Taschenlampe;0;Gluehbirne;1
8C;2462;r;Marmelade;1;Uhr;1
16B;3269;l;Muetze;0;Geldbeutel;0
10D;3175;r;Buerste;0;Brille;1
24A;2977;l;Kanne;1;Blume;0
12A;3441;l;Kamera;0;Fernglas;0
25A;2946;l;Kaffeemuehle;1;Kerze;0
