pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15C;3745;r;Handtuch;0;Wasserglas;0
12D;3363;r;Kamera;0;Fernglas;0
26C;2312;r;Taschenlampe;0;Gluehbirne;0
10C;2471;r;Brille;1;Buerste;0
21A;2633;l;Stift;1;Handy;0
13A;2450;l;Buch;1;Laptop;0
4B;3371;l;Ventilator;1;Kiste ;0
17A;2123;l;Erdbeeren;0;Schuh;0
8D;2705;r;Uhr;0;Marmelade;0
1D;2677;r;Melone;0;Orange;0
19C;3943;r;Hut;1;Trommel;0
6B;2019;l;Obstschale;1;Globus;1
18A;2815;l;Ukulele;0;Handbesen;0
22D;2598;r;Elefant;0;Feder;0
14C;3216;r;Ordner;0;Kopfhoerer;0
5D;2752;r;Foehn;1;Blackroll;0
3B;2256;l;Stethoskop;0;Fahrradhelm;0
9A;2999;l;Tasse;0;Wasserflasche;0
24B;3009;l;Blume;0;Kanne ;0
11D;3096;r;Eimer;1;Stuhl;0
20D;2056;r;Kissen;0;Schuessel;0
7D;3166;r;Toaster;0;Thermoskanne;0
25C;2230;r;Kerze;0;Kaffeemuehle;0
23D;3541;r;Saege;0;Hammer;0
16D;3026;r;Geldbeutel;0;Muetze;0
2D;3680;r;Locher;0;Zollstock;0
