pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
25D;3471;r;Kaffemuehle;0;Kerze;0
14C;3276;r;Ordner;0;Kopfhoerer;0
19D;2223;r;Trommel;0;Hut;0
15A;3349;l;Wasserglas;0;Handtuch;0
6D;2866;r;Globus;0;Obstschale;0
11D;2265;r;Eimer;1;Stuhl;1
9A;2053;l;Tasse;0;Wasserflasche;0
8B;2278;l;Marmelade;0;Uhr;0
10A;2953;l;Buerste;0;Brille;0
7D;2032;r;Toaster;0;Thermoskanne;0
21C;3337;r;Handy;0;Stift;0
2A;2118;l;Locher;0;Zollstock ;0
4D;2652;r;Kiste ;0;Ventilator;0
3B;2544;l;Stethoskop;0;Fahrradhelm;0
24D;3172;r;Kanne;0;Blume;0
1A;3376;l;Melone;0;Orange;1
16A;2017;l;Geldbeutel;0;Muetze;0
5D;3499;r;Foehn;0;Blackroll;0
22A;3611;l;Elefant;0;Feder;0
20A;3667;l;Kissen;0;Schuessel;0
18D;3257;r;Ukulele;0;Handbesen;0
23B;2525;l;Saege;1;Hammer;1
12A;3302;l;Kamera;0;Fernglas;0
26A;2528;l;Gluehbirne;0;Taschenlampe;0
13A;2277;l;Buch;0;Laptop;0
17B;2829;l;Schuh;1;Erdbeeren;0
