pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17C;2691;r;Schuh;0;Erdbeeren;0
13C;2685;r;Laptop;1;Buch;1
15B;2059;l;Handtuch;0;Wasserglas;0
4C;2512;r;Ventilator;0;Kiste;0
21D;2979;r;Stift;1;Handy;1
8C;3739;r;Marmelade;0;Uhr;0
25D;2672;r;Kaffemuehle;0;Kerze;0
18D;2861;r;Ukulele;0;Handbesen;0
19B;3164;l;Hut;0;Trommel;0
6D;2186;r;Globus;1;Obstschale;0
10A;2960;l;Buerste;1;Brille;0
12B;3921;l;Fernglas;0;Kamera;0
11B;2487;l;Stuhl;0;Eimer;1
3D;2427;r;Fahrradhelm;0;Stethoskop;0
9B;3636;l;Wasserflasche;0;Tasse;1
22A;3887;l;Elefant;1;Feder;0
16B;3174;l;Muetze;0;Geldbeutel;0
2C;3998;r;Zollstock ;1;Locher;1
24C;2043;r;Blume;1;Kanne;1
7C;2705;r;Thermoskanne;1;Toaster ;0
26D;2524;r;Gluehbirne;0;Taschenlampe;0
5C;3239;r;Blackroll;0;Foehn;0
20A;2104;l;Kissen;1;Schuessel;0
23D;2921;r;Saege;1;Hammer;1
1B;2506;l;Orange;0;Melone;0
14B;3048;l;Ordner;0;Kopfhoerer;0
