pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
8B;3528;l;Marmelade;0;Uhr;0
3D;2822;r;Fahrradhelm;0;Stethoskop;0
23B;3909;l;Saege;0;Hammer;0
16A;3511;l;Geldbeutel;0;Muetze;0
22D;2509;r;Elefant;0;Feder;0
17D;3578;r;Erdbeeren;0;Schuh;0
1B;2017;l;Orange;0;Melone;0
2B;2646;l;Zollstock;0;Locher;0
10A;3902;l;Buerste;1;Brille;0
9D;3317;r;Tasse;0;Wasserflasche;0
6D;3765;r;Globus;0;Obstschale;0
20C;3851;r;Schuessel;0;Kissen;0
21B;2839;l;Handy;0;Stift;0
4D;3985;r;Kiste ;0;Ventilator;1
11D;2737;r;Eimer;0;Stuhl;0
12D;3055;r;Kamera;0;Fernglas;1
5D;2493;r;Foehn;1;Blackroll;0
26D;2842;r;Gluehbirne;0;Taschenlampe;0
19A;3294;l;Trommel;0;Hut;0
7B;2686;l;Thermoskanne;0;Toaster;0
14D;3424;r;Kopfhoerer;0;Ordner;1
25B;3792;l;Kerze;0;Kaffemuehle;0
24A;3396;l;Kanne;1;Blume;1
18D;2225;r;Ukulele;0;Handbesen;0
15C;3547;r;Handtuch;0;Wasserglas;1
13A;3109;l;Buch;0;Laptop;0
