pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
7C;3437;r;Thermoskanne;0;Toaster ;0
9B;2293;l;Wasserflasche;0;Tasse;0
8A;3206;l;Uhr;0;Marmelade;0
3B;2957;l;Stethoskop;1;Fahrradhelm;1
19D;2477;r;Trommel;0;Hut;0
22C;3724;r;Feder;0;Elefant;0
5B;2827;l;Blackroll;0;Foehn;0
2B;2474;l;Zollstock;0;Locher;0
15B;3422;l;Handtuch;0;Wasserglas;0
11B;3216;l;Stuhl;0;Eimer;0
10C;2404;r;Brille;0;Buerste;0
17A;2317;l;Erdbeeren;0;Schuh;1
26A;2782;l;Gluehbirne;0;Taschenlampe;0
20D;3263;r;Kissen;0;Schuessel;0
4C;2285;r;Ventilator;0;Kiste;0
25A;2123;l;Kaffeemuehle;0;Kerze;0
6A;3884;l;Globus;0;Obstschale;0
13A;2148;l;Buch;1;Laptop;0
24D;2881;r;Kanne;0;Blume;0
16A;2703;l;Geldbeutel;0;Muetze;0
12B;3584;l;Fernglas;1;Kamera;1
1A;2704;l;Melone;0;Orange;0
18D;3161;r;Ukulele;1;Handbesen;1
14C;3236;r;Ordner;0;Kopfhoerer;1
23B;3858;l;Saege;0;Hammer;0
21D;3289;r;Stift;1;Handy;1
