pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
2A;2882;l;Locher;1;Zollstock ;1
13A;3330;l;Buch;1;Laptop;1
16B;3662;l;Muetze;1;Geldbeutel;1
4D;3595;r;Kiste ;1;Ventilator;0
20D;3916;r;Kissen;0;Schuessel;0
7A;2461;l;Toaster ;1;Thermoskanne;0
17A;3807;l;Erdbeeren;0;Schuh;1
5C;2841;r;Blackroll;0;Foehn;1
26B;2335;l;Taschenlampe;1;Gluehbirne;1
3C;2213;r;Stethoskop;0;Fahrradhelm;0
12C;2731;r;Fernglas;0;Kamera;0
6D;3860;r;Globus;1;Obstschale;1
25D;2425;r;Kaffemuehle;0;Kerze;0
18B;2486;l;Handbesen;0;Ukulele;0
11C;3348;r;Stuhl;0;Eimer;1
8A;3982;l;Uhr;0;Marmelade;0
15A;2790;l;Wasserglas;0;Handtuch;0
14A;2235;l;Kopfhoerer;0;Ordner;0
24B;3484;l;Blume;1;Kanne ;1
23C;2904;r;Hammer;0;Saege;0
22A;2298;l;Elefant;0;Feder;0
1B;2739;l;Orange;1;Melone;1
10D;3759;r;Buerste;0;Brille;0
21C;3451;r;Handy;0;Stift;0
19A;3430;l;Trommel;0;Hut;0
9D;2489;r;Tasse;0;Wasserflasche;0
