pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
6A;2068;l;Globus;0;Obstschale;0
15A;2777;l;Wasserglas;1;Handtuch;0
26C;2059;r;Taschenlampe;0;Gluehbirne;0
8A;2838;l;Uhr;0;Marmelade;0
5C;3509;r;Blackroll;1;Foehn;0
9B;3277;l;Wasserflasche;1;Tasse;1
2B;2813;l;Zollstock;0;Locher;0
16D;3771;r;Geldbeutel;0;Muetze;0
7B;3567;l;Thermoskanne;1;Toaster;0
13B;3336;l;Laptop;1;Buch;1
21B;2164;l;Handy;0;Stift;0
10C;2263;r;Brille;0;Buerste;0
17C;3265;r;Schuh;0;Erdbeeren;1
23A;3149;l;Hammer;1;Säege;1
11B;2450;l;Stuhl;1;Eimer;0
12D;2198;r;Kamera;1;Fernglas;1
18A;3087;l;Ukulele;0;Handbesen;0
3C;3679;r;Stethoskop;1;Fahrradhelm;1
14A;3552;l;Kopfhoerer;0;Ordner;0
19A;2683;l;Trommel;0;Hut;0
22C;3402;r;Feder;0;Elefant;0
20D;2359;r;Kissen;0;Schuessel;0
25C;3542;r;Kerze;1;Kaffeemuehle;1
4C;3269;r;Ventilator;0;Kiste;1
24D;2189;r;Kanne;1;Blume;1
1B;3843;l;Orange;1;Melone;1
