pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
8C;3204;r;Marmelade;0;Uhr;0
25D;2893;r;Kaffemuehle;0;Kerze;1
1B;2988;l;Orange;0;Melone;0
9A;3062;l;Tasse;1;Wasserflasche;0
16B;2027;l;Muetze;1;Geldbeutel;0
17B;3381;l;Schuh;1;Erdbeeren;0
19A;3965;l;Trommel;0;Hut;0
24D;2265;r;Kanne;0;Blume;0
26D;2344;r;Gluehbirne;0;Taschenlampe;0
7B;2493;l;Thermoskanne;0;Toaster;0
23B;3594;l;Saege;1;Hammer;1
5D;2021;r;Foehn;1;Blackroll;0
11D;3518;r;Eimer;1;Stuhl;1
22C;3612;r;Feder;0;Elefant;0
18A;3694;l;Ukulele;0;Handbesen;0
13C;2303;r;Laptop;0;Buch;1
10A;2267;l;Buerste;0;Brille;0
4A;3046;l;Kiste;0;Ventilator;0
3C;3467;r;Stethoskop;0;Fahrradhelm;0
6A;3563;l;Globus;0;Obstschale;0
12D;2394;r;Kamera;1;Fernglas;1
15A;3118;l;Wasserglas;1;Handtuch;1
14C;2397;r;Ordner;1;Kopfhoerer;0
21B;3697;l;Handy;0;Stift;0
2D;2544;r;Locher;0;Zollstock;0
20B;2311;l;Schuessel;0;Kissen;1
